,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK-500,884,804,408,50.70%,500,384,82,255,629,500,430,328,76.30%,0,130,18,134,366,384,384,374,80,21.40%,64,121,263,330,330,330,202,61.20%,121,23,53,277
AK-501,874,506,95,18.80%,595,279,126,417,457,595,279,0,0.00%,0,12,95,304,291,279,279,227,95,41.90%,31,113,166,159,159,159,47,29.60%,28,10,20,139
AL-500,"1,303","1,078",574,53.20%,388,915,166,511,792,388,317,242,76.30%,45,15,25,80,308,915,915,761,332,43.60%,141,431,484,"1,292","1,292","1,292","1,091",84.40%,257,293,817,475
AL-501,459,368,310,84.20%,133,326,57,189,270,133,77,14,18.20%,35,27,21,62,71,326,326,291,296,101.70%,36,127,199,171,171,171,171,100.00%,65,19,49,122
AL-502,174,127,51,40.20%,36,138,21,75,99,36,36,4,11.10%,0,0,4,22,14,138,138,91,47,51.60%,17,53,85,79,79,79,0,0.00%,2,0,0,79
AL-503,858,811,598,73.70%,438,420,44,123,735,438,391,307,78.50%,0,55,20,25,413,420,420,420,291,69.30%,24,98,322,141,141,141,108,76.60%,88,0,0,141
AL-504,429,355,285,80.30%,153,276,29,87,342,153,133,132,99.20%,9,59,3,11,142,276,276,222,153,68.90%,26,76,200,239,239,239,189,79.10%,90,24,61,178
AL-505,294,227,36,15.90%,228,66,20,60,234,228,161,18,11.20%,56,55,15,45,183,66,66,66,18,27.30%,5,15,51,2,2,2,0,0.00%,1,1,1,1
AL-506,317,289,136,47.10%,93,224,39,112,205,93,65,37,56.90%,0,29,12,37,56,224,224,224,99,44.20%,27,75,149,59,59,59,49,83.10%,10,4,12,47
AL-507,539,392,0,0.00%,297,242,54,173,366,297,182,0,0.00%,0,0,53,171,126,242,242,210,0,0.00%,1,2,240,437,437,413,0,0.00%,0,6,13,424
AR-500,"1,046",901,711,78.90%,441,605,96,328,718,441,396,273,68.90%,0,134,22,77,364,605,605,505,438,86.70%,74,251,354,657,657,657,597,90.90%,76,147,398,259
AR-501,318,179,140,78.20%,202,116,69,176,142,202,113,74,65.50%,16,36,34,90,112,116,116,66,66,100.00%,35,86,30,16,16,16,16,100.00%,0,0,0,16
AR-502,126,71,64,90.10%,55,71,11,42,84,55,0,37,0.00%,0,0,8,33,22,71,71,71,27,38.00%,3,9,62,9,9,0,0,0.00%,0,0,0,9
AR-504,271,77,226,293.50%,226,45,26,149,122,226,32,181,565.60%,0,20,26,149,77,45,45,45,45,100.00%,0,0,45,55,55,50,55,110.00%,0,0,0,55
AR-505,159,38,61,160.50%,145,14,23,67,92,145,38,61,160.50%,17,6,18,55,90,14,14,0,0,.,5,12,2,24,24,24,24,100.00%,12,4,12,12
