,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,758","1,310",503,38.40%,"1,095",663,208,672,"1,086","1,095",709,328,46.30%,0,142,113,438,657,663,663,601,175,29.10%,95,234,429,489,489,489,249,50.90%,149,33,73,416
AL,"4,373","3,647","1,990",54.60%,"1,766","2,607",430,"1,330","3,043","1,766","1,362",754,55.40%,145,240,153,453,"1,313","2,607","2,607","2,285","1,236",54.10%,277,877,"1,730","2,420","2,420","2,396","1,608",67.10%,513,347,953,"1,467"
AR,"2,592","1,814","1,601",88.30%,"1,483","1,109",304,951,"1,641","1,483",896,932,104.00%,33,210,161,532,951,"1,109","1,109",918,669,72.90%,143,419,690,"1,538","1,538","1,511",729,48.20%,95,247,713,825
AZ,"9,333","7,765","6,363",81.90%,"3,736","5,597","1,410","4,665","4,668","3,736","2,662","2,417",90.80%,84,129,509,"1,687","2,049","5,597","5,597","5,103","3,946",77.30%,901,"2,978","2,619","3,019","3,019","2,947","2,868",97.30%,865,367,"1,066","1,953"
CA,"51,078","43,575","23,469",53.90%,"20,181","30,897","6,547","22,424","28,654","20,181","16,078","8,075",50.20%,"6,261","9,889","1,873","7,003","13,178","30,897","30,897","27,497","15,394",56.00%,"4,674","15,421","15,476","26,787","26,787","26,666","13,353",50.10%,"7,616","2,904","8,913","17,874"
CO,"6,414","5,735","3,597",62.70%,"2,780","3,634","1,235","3,584","2,830","2,780","2,232","1,429",64.00%,161,524,315,"1,021","1,759","3,634","3,634","3,503","2,168",61.90%,920,"2,563","1,071","2,110","2,110","2,110","1,589",75.30%,987,214,589,"1,521"
CT,"3,902","3,658","2,995",81.90%,"2,331","1,571",536,"1,709","2,193","2,331","2,149","1,855",86.30%,285,298,307,"1,058","1,273","1,571","1,571","1,509","1,140",75.50%,229,651,920,"3,504","3,504","3,504","2,817",80.40%,"1,094",472,"1,222","2,282"
DC,"5,264","5,161","4,082",79.10%,"3,001","2,263",556,"1,808","3,456","3,001","2,918","2,681",91.90%,718,0,208,716,"2,285","2,263","2,263","2,243","1,401",62.50%,348,"1,092","1,171","3,639","3,639","3,611","1,809",50.10%,0,524,"1,623","2,016"
DE,"1,225","1,041",833,80.00%,515,710,113,397,828,515,439,361,82.20%,59,131,53,175,340,710,710,602,472,78.40%,60,222,488,294,294,294,225,76.50%,118,2,6,288
FL,"21,062","18,374","13,801",75.10%,"8,913","12,149","2,353","8,181","12,881","8,913","7,310","5,620",76.90%,537,"2,819",815,"2,984","5,929","12,149","12,149","11,064","8,181",73.90%,"1,538","5,197","6,952","8,366","8,366","7,862","6,000",76.30%,"1,736","1,134","3,416","4,950"
GA,"9,233","8,224","7,109",86.40%,"4,176","5,057","1,103","3,777","5,456","4,176","3,384","2,914",86.10%,880,283,383,"1,376","2,800","5,057","5,057","4,840","4,195",86.70%,720,"2,401","2,656","2,928","2,928","2,799","2,143",76.60%,470,421,"1,160","1,768"
GU,217,174,103,59.20%,79,138,37,91,126,79,36,2,5.60%,0,5,12,31,48,138,138,138,101,73.20%,25,60,78,50,50,50,17,34.00%,2,5,17,33
HI,"3,100","2,905","2,958",101.80%,"1,081","2,019",525,"1,927","1,173","1,081",906,974,107.50%,0,104,160,594,487,"2,019","2,019","1,999","1,984",99.20%,365,"1,333",686,844,844,844,692,82.00%,206,37,109,735
IA,"3,553","2,952","2,854",96.70%,"1,338","2,215",618,"2,013","1,540","1,338","1,027",937,91.20%,48,140,141,542,796,"2,215","2,215","1,925","1,917",99.60%,477,"1,471",744,828,828,828,686,82.90%,41,117,456,372
ID,"1,626","1,232",879,71.30%,746,880,290,871,755,746,494,376,76.10%,80,304,107,314,432,880,880,738,503,68.20%,183,557,323,289,289,289,289,100.00%,93,58,159,130
IL,"13,852","12,159","8,398",69.10%,"5,204","8,648","2,396","7,786","6,066","5,204","4,165","2,665",64.00%,661,"1,377",575,"1,814","3,390","8,648","8,648","7,994","5,733",71.70%,"1,821","5,972","2,676","8,826","8,826","8,826","5,216",59.10%,"2,203","1,063","3,270","5,556"
IN,"8,167","6,507","3,984",61.20%,"3,966","4,201","1,335","4,175","3,992","3,966","2,925","2,047",70.00%,255,333,683,"2,078","1,888","4,201","4,201","3,582","1,937",54.10%,652,"2,097","2,104","1,869","1,869","1,857","1,024",55.10%,505,135,287,"1,582"
KS,"2,784","2,195",460,21.00%,"1,727","1,057",491,"1,281","1,503","1,727","1,208",248,20.50%,77,243,337,752,975,"1,057","1,057",987,212,21.50%,154,529,528,634,634,634,375,59.10%,96,118,310,324
KY,"6,279","5,290","3,872",73.20%,"2,807","3,472","1,140","3,354","2,925","2,807","2,297","1,870",81.40%,89,347,270,976,"1,831","3,472","3,472","2,993","2,002",66.90%,870,"2,378","1,094","1,901","1,901","1,767","1,525",86.30%,267,380,906,995
LA,"4,627","4,008","3,279",81.80%,"1,605","3,022",612,"1,732","2,895","1,605","1,189",958,80.60%,172,244,209,534,"1,071","3,022","3,022","2,819","2,321",82.30%,403,"1,198","1,824","2,153","2,153","2,110","1,599",75.80%,204,296,735,"1,418"
MA,"14,616","13,293","10,531",79.20%,"8,446","6,170","2,699","7,811","6,805","8,446","7,809","6,403",82.00%,374,302,"1,762","5,546","2,900","6,170","6,170","5,484","4,128",75.30%,937,"2,265","3,905","7,932","7,932","7,795","4,743",60.80%,"2,206",841,"2,122","5,810"
MD,"6,051","5,510","4,662",84.60%,"2,564","3,487",961,"3,255","2,796","2,564","2,169","1,787",82.40%,960,572,373,"1,258","1,306","3,487","3,487","3,341","2,875",86.10%,588,"1,997","1,490","4,288","4,288","4,288","3,568",83.20%,680,954,"2,628","1,660"
ME,"2,998","2,629","1,477",56.20%,968,"2,030",594,"1,759","1,239",968,742,699,94.20%,0,107,117,392,576,"2,030","2,030","1,887",778,41.20%,477,"1,367",663,"1,314","1,314","1,314",829,63.10%,93,202,540,774
MI,"11,647","9,668","8,048",83.20%,"6,316","5,331","1,741","5,452","6,195","6,316","5,022","4,307",85.80%,"1,114","1,927",785,"2,461","3,855","5,331","5,331","4,646","3,741",80.50%,956,"2,991","2,340","5,027","5,027","4,801","4,348",90.60%,"1,102",858,"2,224","2,803"
MN,"7,178","6,240","4,320",69.20%,"3,375","3,803","1,427","4,750","2,428","3,375","2,651","1,201",45.30%,28,424,566,"1,859","1,516","3,803","3,803","3,589","3,119",86.90%,861,"2,891",912,"5,406","5,406","5,406","2,917",54.00%,"1,010",809,"2,935","2,471"
MO,"6,980","5,212","3,803",73.00%,"3,534","3,446","1,155","3,574","3,406","3,534","2,072","1,706",82.30%,178,276,624,"1,867","1,667","3,446","3,446","3,140","2,097",66.80%,531,"1,707","1,739","3,867","3,867","3,867","2,868",74.20%,183,752,"2,102","1,765"
MS,"1,609","1,106",469,42.40%,723,886,167,426,"1,183",723,463,171,36.90%,0,42,58,180,543,886,886,643,298,46.30%,109,246,640,268,268,193,258,133.70%,143,21,65,203
MT,"1,210",867,128,14.80%,655,555,179,590,620,655,477,57,11.90%,0,24,73,238,417,555,555,390,71,18.20%,106,352,203,317,317,317,109,34.40%,78,37,87,230
NC,"8,831","7,660","4,825",63.00%,"4,525","4,306",893,"2,828","6,003","4,525","3,572","2,422",67.80%,442,637,375,"1,212","3,313","4,306","4,306","4,088","2,403",58.80%,518,"1,616","2,690","2,019","2,019","2,011","1,223",60.80%,462,346,900,"1,119"
ND,957,722,445,61.60%,615,342,128,410,547,615,452,333,73.70%,0,29,86,271,344,342,342,270,112,41.50%,42,139,203,386,386,386,373,96.60%,73,64,202,184
NE,"3,335","2,733","1,594",58.30%,"1,606","1,729",569,"1,707","1,628","1,606","1,148",821,71.50%,0,530,232,674,932,"1,729","1,729","1,585",773,48.80%,337,"1,033",696,574,574,574,170,29.60%,74,67,163,411
NH,"1,678","1,451","1,270",87.50%,792,886,315,"1,035",643,792,601,545,90.70%,67,98,126,434,358,886,886,850,725,85.30%,189,601,285,656,656,654,587,89.80%,237,102,263,393
NJ,"7,319","6,335","5,407",85.40%,"4,174","3,145","1,278","3,399","3,920","4,174","3,618","3,345",92.50%,451,"1,761",625,"1,817","2,357","3,145","3,145","2,717","2,062",75.90%,653,"1,582","1,563","2,316","2,316","2,316","2,115",91.30%,806,325,781,"1,535"
NM,"2,334","1,595",557,34.90%,"1,391",943,240,"1,278","1,056","1,391",882,217,24.60%,555,138,54,696,695,943,943,713,340,47.70%,186,582,361,820,820,820,492,60.00%,323,89,232,588
NV,"5,671","5,213","2,061",39.50%,"1,937","3,734",587,"1,879","3,792","1,937","1,742",896,51.40%,316,247,79,336,"1,601","3,734","3,734","3,471","1,165",33.60%,508,"1,543","2,191","1,405","1,405","1,405",868,61.80%,343,162,510,895
NY,"59,556","55,922","44,255",79.10%,"45,194","14,362","11,669","36,674","22,882","45,194","42,283","37,946",89.70%,233,"1,450","9,743","30,649","14,545","14,362","14,362","13,639","6,309",46.30%,"1,926","6,025","8,337","30,246","30,246","29,850","12,284",41.20%,"2,628","3,708","11,040","19,206"
OH,"12,172","10,826","8,461",78.20%,"6,873","5,299","1,845","5,636","6,536","6,873","5,906","4,466",75.60%,281,886,883,"2,882","3,991","5,299","5,299","4,920","3,995",81.20%,962,"2,754","2,545","10,502","10,502","10,502","7,461",71.00%,"2,402","1,441","3,776","6,726"
OK,"3,548","2,781","1,467",52.80%,"2,232","1,316",473,"1,489","2,059","2,232","1,614",791,49.00%,58,285,254,881,"1,351","1,316","1,316","1,167",676,57.90%,219,608,708,495,495,437,346,79.20%,144,41,112,383
OR,"12,980","11,926","7,812",65.50%,"3,980","9,000","1,956","5,762","7,218","3,980","3,438","1,083",31.50%,843,"1,144",469,"1,356","2,624","9,000","9,000","8,488","6,729",79.30%,"1,487","4,406","4,594","6,941","6,941","6,859","2,683",39.10%,880,"1,211","3,052","3,889"
PA,"16,531","14,776","7,882",53.30%,"6,944","9,587","3,101","9,540","6,991","6,944","5,908","3,746",63.40%,930,849,"1,160","3,561","3,383","9,587","9,587","8,868","4,136",46.60%,"1,941","5,979","3,608","9,194","9,194","9,124","2,532",27.80%,"1,124","1,490","5,211","3,983"
PR,"2,572","2,121","1,860",87.70%,556,"2,016",118,337,"2,235",556,357,412,115.40%,0,0,45,149,407,"2,016","2,016","1,764","1,448",82.10%,73,188,"1,828","1,037","1,037","1,037",300,28.90%,401,93,240,797
RI,"1,456","1,339","1,153",86.10%,753,703,226,819,637,753,664,654,98.50%,17,0,80,356,397,703,703,675,499,73.90%,146,463,240,943,943,943,671,71.20%,196,120,335,608
SC,"3,874","3,215","2,681",83.40%,"1,770","2,104",507,"1,582","2,292","1,770","1,335","1,134",84.90%,383,358,238,800,970,"2,104","2,104","1,880","1,547",82.30%,269,782,"1,322",868,868,848,683,80.50%,108,117,352,516
SD,"1,416",994,298,30.00%,717,699,213,624,792,717,300,155,51.70%,6,42,139,406,311,699,699,694,143,20.60%,74,218,481,298,298,298,214,71.80%,197,30,101,197
TN,"6,405","5,645","3,070",54.40%,"3,130","3,275",658,"2,229","4,176","3,130","2,577","1,183",45.90%,247,273,244,924,"2,206","3,275","3,275","3,068","1,887",61.50%,414,"1,305","1,970","2,503","2,503","2,503","1,422",56.80%,680,395,"1,017","1,486"
TX,"20,794","16,670","9,937",59.60%,"12,018","8,776","2,948","9,609","11,185","12,018","9,303","4,354",46.80%,542,834,"1,183","4,292","7,726","8,776","8,776","7,367","5,583",75.80%,"1,765","5,317","3,459","4,888","4,888","4,804","3,924",81.70%,952,746,"2,100","2,788"
UT,"3,245","2,307","1,817",78.80%,"1,557","1,688",527,"1,764","1,481","1,557","1,057",983,93.00%,602,324,207,713,844,"1,688","1,688","1,250",834,66.70%,320,"1,051",637,"1,334","1,334","1,310",779,59.50%,293,177,485,849
VA,"7,725","6,121","3,199",52.30%,"3,604","4,121","1,232","4,484","3,241","3,604","2,464","1,582",64.20%,867,416,475,"1,808","1,796","4,121","4,121","3,657","1,617",44.20%,757,"2,676","1,445","1,891","1,891","1,891","1,372",72.60%,452,172,547,"1,344"
VI,164,112,164,146.40%,115,49,15,50,114,115,63,115,182.50%,15,0,14,46,69,49,49,49,49,100.00%,1,4,45,56,56,56,56,100.00%,26,7,19,37
VT,879,738,579,78.50%,528,351,144,438,441,528,406,366,90.10%,1,143,71,244,284,351,351,332,213,64.20%,73,194,157,485,485,485,387,79.80%,181,39,125,360
WA,"17,587","16,038","10,272",64.00%,"6,529","11,058","3,455","10,846","6,741","6,529","5,507","3,518",63.90%,836,"2,627",827,"2,718","3,811","11,058","11,058","10,531","6,754",64.10%,"2,628","8,128","2,930","5,610","5,610","5,544","2,668",48.10%,"1,584",595,"1,447","4,163"
WI,"6,255","4,882","3,963",81.20%,"3,027","3,228","1,180","3,954","2,301","3,027","2,103","1,534",72.90%,134,"1,829",409,"1,626","1,401","3,228","3,228","2,779","2,429",87.40%,771,"2,328",900,"1,725","1,725","1,725","1,587",92.00%,372,227,713,"1,012"
WV,"1,915","1,556","1,065",68.40%,"1,269",646,195,622,"1,293","1,269","1,052",741,70.40%,0,78,111,339,930,646,646,504,324,64.30%,84,283,363,470,470,462,256,55.40%,100,29,72,398
WY,729,439,65,14.80%,504,225,114,315,414,504,251,65,25.90%,0,63,78,218,286,225,225,188,0,0.00%,36,97,128,67,67,67,0,0.00%,0,0,0,67
Total,"422,656","366,368","252,727",,"211,451","211,205","65,748","209,655","213,001","211,451","174,394","127,181",,"21,025","36,477","29,949","98,287","113,164","211,205","211,205","191,974","125,546",,"35,799","111,368","99,837","188,636","188,636","186,286","109,906",,"37,793","25,141","72,481","116,155"
