,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK-500,899,819,618,75.50%,540,359,0,97,305,594,540,470,400,85.10%,0,0,33,174,366,359,359,349,218,62.50%,64,131,228,0,0,0,0,0.00%,0,319,319,319,262,82.10%,121,16,40,279
AK-501,798,437,108,24.70%,574,224,0,131,388,410,574,277,30,10.80%,0,0,98,291,283,224,224,160,78,48.80%,33,97,127,0,0,0,0,0.00%,0,147,147,147,58,39.50%,40,10,28,119
AL-500,"1,134",979,641,65.50%,312,788,34,137,464,670,312,251,241,96.00%,55,30,19,67,245,788,788,694,366,52.70%,118,397,391,34,34,34,34,100.00%,34,"1,205","1,205","1,205","1,093",90.70%,261,218,664,541
AL-501,424,327,219,67.00%,190,234,0,71,224,200,190,134,115,85.80%,25,0,29,94,96,234,234,193,104,53.90%,42,130,104,0,0,0,0,0.00%,0,167,167,167,167,100.00%,73,14,39,128
AL-502,261,214,36,16.80%,36,225,0,20,72,189,36,36,36,100.00%,0,0,4,22,14,225,225,178,0,0.00%,16,50,175,0,0,0,0,0.00%,0,77,77,77,0,0.00%,4,0,0,77
AL-503,740,701,154,22.00%,362,378,0,42,94,646,362,323,68,21.10%,23,0,7,14,348,378,378,378,86,22.80%,35,80,298,0,0,0,0,0.00%,0,252,252,252,47,18.70%,24,1,3,249
AL-504,417,354,257,72.60%,141,276,0,34,89,328,141,132,108,81.80%,0,40,4,11,130,276,276,222,149,67.10%,30,78,198,0,0,0,0,0.00%,0,218,218,218,184,84.40%,62,17,53,165
AL-505,252,209,52,24.90%,181,71,0,13,72,180,181,138,34,24.60%,56,41,7,54,127,71,71,71,18,25.40%,6,18,53,0,0,0,0,0.00%,0,68,68,68,6,8.80%,1,35,42,26
AL-506,329,301,146,48.50%,93,236,0,39,112,217,93,65,37,56.90%,0,29,12,37,56,236,236,236,109,46.20%,27,75,161,0,0,0,0,0.00%,0,62,62,62,3,4.80%,11,4,12,50
AL-507,780,679,0,0.00%,324,456,0,72,199,581,324,224,0,0.00%,0,1,70,195,129,456,456,455,0,0.00%,2,4,452,0,0,0,0,0.00%,0,366,366,366,0,0.00%,6,6,13,353
AR-500,935,790,593,75.10%,408,527,0,93,317,618,408,363,253,69.70%,0,134,28,89,319,527,527,427,340,79.60%,65,228,299,0,0,0,0,0.00%,0,690,690,685,625,91.20%,71,149,416,274
AR-501,293,188,183,97.30%,180,113,0,51,147,146,180,105,105,100.00%,0,0,22,64,116,113,113,83,78,94.00%,29,83,30,0,0,0,0,0.00%,0,40,40,40,40,100.00%,0,0,0,40
AR-502,126,71,15,21.10%,55,71,0,11,42,84,55,0,0,0.00%,0,0,8,33,22,71,71,71,15,21.10%,3,9,62,0,0,0,0,0.00%,0,9,9,9,0,0.00%,0,0,0,9
AR-504,235,112,123,109.80%,182,53,0,28,89,146,182,59,70,118.60%,0,13,28,89,93,53,53,53,53,100.00%,0,0,53,0,0,0,0,0.00%,0,55,55,55,55,100.00%,0,0,0,55
AR-505,159,55,61,110.90%,145,14,0,20,58,101,145,55,61,110.90%,0,6,15,46,99,14,14,0,0,.,5,12,2,0,0,0,0,0.00%,0,24,24,24,24,100.00%,12,4,12,12
AR-506,99,79,81,102.50%,23,76,0,5,10,89,23,3,5,166.70%,0,2,5,10,13,76,76,76,76,100.00%,0,0,76,0,0,0,0,0.00%,0,694,694,694,0,0.00%,113,59,239,455
AZ-500,"1,555",909,823,90.50%,801,754,0,293,973,582,801,326,319,97.90%,86,2,161,530,271,754,754,583,504,86.40%,132,443,311,0,0,0,0,0.00%,0,373,373,373,343,92.00%,198,31,87,286
AZ-501,"2,530","2,399","1,651",68.80%,749,"1,766",15,302,"1,067","1,463",749,650,196,30.20%,187,0,70,253,496,"1,766","1,766","1,734","1,440",83.00%,232,814,952,15,15,15,15,100.00%,15,622,622,608,585,96.20%,115,56,167,455
AZ-502,"5,718","4,757","3,628",76.30%,"2,694","2,999",25,929,"3,229","2,489","2,694","2,041","1,393",68.30%,0,63,322,"1,223","1,471","2,999","2,999","2,691","2,210",82.10%,607,"2,006",993,25,25,25,25,100.00%,25,"2,523","2,523","2,523","2,503",99.20%,552,267,824,"1,699"
CA-500,"1,901","1,707","1,654",96.90%,731,"1,160",10,291,"1,076",825,731,669,648,96.90%,298,8,74,288,443,"1,160","1,160","1,028",996,96.90%,217,788,372,10,10,10,10,100.00%,10,"1,462","1,462","1,462","1,254",85.80%,285,273,971,491
CA-501,"2,339","2,178","1,917",88.00%,"1,640",674,25,225,732,"1,607","1,640","1,567","1,411",90.00%,196,5,125,405,"1,235",674,674,586,481,82.10%,100,327,347,25,25,25,25,100.00%,25,"5,233","5,233","5,233","4,334",82.80%,"2,790",420,"1,223","4,010"
CA-502,"2,463","1,888","1,134",60.10%,920,"1,543",0,428,"1,334","1,129",920,682,457,67.00%,245,80,123,407,513,"1,543","1,543","1,206",677,56.10%,305,927,616,0,0,0,0,0.00%,0,"1,957","1,957","1,957","1,344",68.70%,443,291,840,"1,117"
CA-503,"1,571","1,569","1,280",81.60%,599,972,0,161,531,"1,040",599,597,462,77.40%,154,103,29,131,468,972,972,972,818,84.20%,132,400,572,0,0,0,0,0.00%,0,"1,659","1,659","1,659","1,558",93.90%,240,272,"1,012",647
CA-504,"1,106","1,053",850,80.70%,568,538,0,184,544,562,568,543,459,84.50%,27,92,58,221,347,538,538,510,391,76.70%,126,323,215,0,0,0,0,0.00%,0,587,587,571,420,73.60%,180,48,145,442
CA-505,965,906,615,67.90%,530,435,0,174,595,370,530,506,286,56.50%,30,0,74,290,240,435,435,400,329,82.30%,100,305,130,0,0,0,0,0.00%,0,868,868,868,766,88.20%,303,167,451,417
CA-506,"1,013",972,733,75.40%,271,742,0,120,495,518,271,230,106,46.10%,0,26,18,53,218,742,742,742,627,84.50%,102,442,300,0,0,0,0,0.00%,0,165,165,165,96,58.20%,17,8,30,135
CA-507,552,440,539,122.50%,176,376,0,92,292,260,176,176,172,97.70%,0,3,13,52,124,376,376,264,367,139.00%,79,240,136,0,0,0,0,0.00%,0,446,446,446,423,94.80%,145,20,66,380
CA-508,578,560,496,88.60%,291,287,0,114,380,198,291,273,234,85.70%,118,11,50,172,119,287,287,287,262,91.30%,64,208,79,0,0,0,0,0.00%,0,123,123,123,108,87.80%,81,7,21,102
CA-509,234,219,199,90.90%,110,124,0,31,118,116,110,95,93,97.90%,8,8,8,40,70,124,124,124,106,85.50%,23,78,46,0,0,0,0,0.00%,0,279,279,279,241,86.40%,0,52,138,141
CA-510,821,780,362,46.40%,451,370,0,140,434,387,451,426,160,37.60%,187,0,75,229,222,370,370,354,202,57.10%,65,205,165,0,0,0,0,0.00%,0,274,274,274,256,93.40%,117,42,135,139
CA-511,"2,362","2,316",766,33.10%,"1,699",663,0,235,884,"1,478","1,699","1,653",235,14.20%,250,100,89,379,"1,320",663,663,663,531,80.10%,146,505,158,0,0,0,0,0.00%,0,339,339,339,339,100.00%,121,32,91,248
CA-512,931,875,775,88.60%,149,782,0,143,567,364,149,127,121,95.30%,0,34,14,57,92,782,782,748,654,87.40%,129,510,272,0,0,0,0,0.00%,0,274,274,274,259,94.50%,218,24,51,223
CA-513,601,566,336,59.40%,243,358,0,68,246,355,243,208,167,80.30%,0,34,34,139,104,358,358,358,169,47.20%,34,107,251,0,0,0,0,0.00%,0,24,24,24,24,100.00%,0,6,23,1
CA-514,"2,105","1,939",373,19.20%,"1,048","1,033",24,297,741,"1,364","1,048",931,32,3.40%,50,9,113,270,778,"1,033","1,033",984,317,32.20%,184,471,562,24,24,24,24,100.00%,24,493,493,493,443,89.90%,119,60,257,236
CA-515,459,391,50,12.80%,71,388,0,94,275,184,71,47,50,106.40%,0,26,7,22,49,388,388,344,0,0.00%,87,253,135,0,0,0,0,0.00%,0,63,63,63,57,90.50%,5,11,25,38
CA-516,337,337,337,100.00%,112,225,0,70,166,171,112,112,112,100.00%,0,100,11,44,68,225,225,225,225,100.00%,59,122,103,0,0,0,0,0.00%,0,17,17,17,17,100.00%,17,0,0,17
CA-517,218,180,186,103.30%,118,100,0,24,79,139,118,106,106,100.00%,28,90,11,44,74,100,100,74,80,108.10%,13,35,65,0,0,0,0,0.00%,0,56,56,56,56,100.00%,8,5,10,46
CA-518,436,400,206,51.50%,205,231,0,66,191,245,205,169,114,67.50%,0,0,46,130,75,231,231,231,92,39.80%,20,61,170,0,0,0,0,0.00%,0,50,50,50,38,76.00%,26,0,0,50
CA-519,462,440,210,47.70%,207,255,0,38,139,323,207,185,120,64.90%,0,57,9,35,172,255,255,255,90,35.30%,29,104,151,0,0,0,0,0.00%,0,136,136,136,119,87.50%,16,40,115,21
CA-520,202,170,51,30.00%,68,134,0,13,82,120,68,36,21,58.30%,0,50,10,53,15,134,134,134,30,22.40%,3,29,105,0,0,0,0,0.00%,0,4,4,4,4,100.00%,4,0,0,4
CA-521,294,269,223,82.90%,112,182,0,39,159,135,112,87,75,86.20%,35,9,8,45,67,182,182,182,148,81.30%,31,114,68,0,0,0,0,0.00%,0,139,139,139,9,6.50%,27,4,13,126
CA-522,278,259,156,60.20%,108,170,0,53,162,116,108,89,7,7.90%,55,44,10,23,85,170,170,170,149,87.60%,43,139,31,0,0,0,0,0.00%,0,34,34,34,17,50.00%,20,4,8,26
CA-523,68,48,40,83.30%,8,60,0,9,38,30,8,8,0,0.00%,0,0,1,4,4,60,60,40,40,100.00%,8,34,26,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-524,488,444,0,0.00%,39,449,0,69,312,176,39,39,0,0.00%,0,28,0,0,39,449,449,405,0,0.00%,69,312,137,0,0,0,0,0.00%,0,65,65,53,0,0.00%,0,6,12,53
CA-525,134,106,0,0.00%,32,102,0,19,53,81,32,10,0,0.00%,40,6,6,15,17,102,102,96,0,0.00%,13,38,64,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-526,285,285,235,82.50%,234,51,0,47,180,105,234,234,184,78.60%,0,15,36,129,105,51,51,51,51,100.00%,11,51,0,0,0,0,0,0.00%,0,10,10,10,10,100.00%,0,0,0,10
CA-600,"13,565","11,962","2,157",18.00%,"4,517","8,998",50,"1,302","4,499","9,066","4,517","4,053",395,9.70%,"1,768",0,278,"1,081","3,436","8,998","8,998","7,859","1,762",22.40%,"1,024","3,418","5,580",50,50,50,0,0.00%,50,"8,077","8,077","8,077","1,024",12.70%,"1,001",932,"2,921","5,156"
CA-601,"2,359","2,116","2,116",100.00%,222,"2,090",47,233,914,"1,445",222,175,175,100.00%,501,38,16,104,118,"2,090","2,090","1,894","1,894",100.00%,217,810,"1,280",47,47,47,47,100.00%,47,685,685,685,484,70.70%,242,18,92,593
CA-602,"4,056","2,483","1,520",61.20%,"1,231","2,825",0,663,"1,919","2,137","1,231",-36,98,(  272.2%),417,"1,450",125,305,926,"2,825","2,825","2,519","1,422",56.50%,538,"1,614","1,211",0,0,0,0,0.00%,0,"1,283","1,283","1,283",545,42.50%,620,27,109,"1,174"
CA-603,995,867,489,56.40%,495,500,0,100,384,611,495,423,266,62.90%,256,40,52,208,287,500,500,444,223,50.20%,48,176,324,0,0,0,0,0.00%,0,436,436,436,169,38.80%,150,26,80,356
CA-604,855,755,646,85.60%,496,359,0,60,274,581,496,396,403,101.80%,0,77,40,205,291,359,359,359,243,67.70%,20,69,290,0,0,0,0,0.00%,0,259,259,259,244,94.20%,132,34,77,182
CA-605,244,187,162,86.60%,42,193,9,39,153,91,42,0,0,0.00%,130,0,14,42,0,193,193,178,153,86.00%,25,111,82,9,9,9,9,100.00%,9,116,116,116,102,87.90%,29,0,0,116
CA-606,"1,657","1,481",478,32.30%,479,"1,153",25,124,593,"1,064",479,417,103,24.70%,200,677,38,185,294,"1,153","1,153","1,039",350,33.70%,86,408,745,25,25,25,25,100.00%,25,348,348,348,330,94.80%,196,32,68,280
CA-607,287,251,224,89.20%,149,138,0,30,149,138,149,113,106,93.80%,130,0,9,77,72,138,138,138,118,85.50%,21,72,66,0,0,0,0,0.00%,0,99,99,99,99,100.00%,31,12,38,61
CA-608,"1,449","1,314","1,246",94.80%,568,881,0,200,742,707,568,433,404,93.30%,162,225,45,257,311,881,881,881,842,95.60%,155,485,396,0,0,0,0,0.00%,0,212,212,212,212,100.00%,143,22,27,185
CA-609,829,583,539,92.50%,338,491,0,68,547,282,338,171,203,118.70%,98,534,9,247,91,491,491,412,336,81.60%,59,300,191,0,0,0,0,0.00%,0,122,122,122,116,95.10%,0,6,25,97
CA-610,"1,620","1,256","1,055",84.00%,220,"1,388",12,262,"1,013",607,220,108,102,94.40%,187,57,21,107,113,"1,388","1,388","1,136",941,82.80%,241,906,482,12,12,12,12,100.00%,12,459,459,459,390,85.00%,104,110,309,150
CA-611,257,235,66,28.10%,124,133,0,48,125,132,124,102,18,17.60%,124,69,13,33,91,133,133,133,48,36.10%,35,92,41,0,0,0,0,0.00%,0,52,52,52,17,32.70%,3,20,35,17
CA-612,153,94,88,93.60%,50,103,0,27,132,21,50,40,40,100.00%,105,0,2,38,12,103,103,54,48,88.90%,25,94,9,0,0,0,0,0.00%,0,126,126,126,62,49.20%,19,32,85,41
CA-613,206,206,186,90.30%,130,76,0,65,117,89,130,130,130,100.00%,0,8,41,41,89,76,76,76,56,73.70%,24,76,0,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
CA-614,281,197,0,0.00%,172,109,0,34,109,172,172,128,0,0.00%,0,3,17,56,116,109,109,69,0,0.00%,17,53,56,0,0,0,0,0.00%,0,72,72,72,0,0.00%,0,1,2,70
CO-500,"1,233",784,742,94.60%,757,476,0,217,895,338,757,402,370,92.00%,40,27,120,508,249,476,476,382,372,97.40%,97,387,89,0,0,0,0,0.00%,0,186,186,186,186,100.00%,116,11,36,150
CO-503,"4,529","4,210","3,185",75.70%,"1,682","2,822",25,921,"2,523","2,006","1,682","1,430","1,053",73.60%,130,419,206,526,"1,156","2,822","2,822","2,755","2,107",76.50%,715,"1,997",825,25,25,25,25,100.00%,25,"2,001","2,001","2,001","1,630",81.50%,812,208,649,"1,352"
CO-504,760,718,447,62.30%,305,455,0,79,272,488,305,263,248,94.30%,0,60,16,67,238,455,455,455,199,43.70%,63,205,250,0,0,0,0,0.00%,0,140,140,140,63,45.00%,68,7,24,116
CT-500,121,108,108,100.00%,64,57,0,16,53,68,64,51,51,100.00%,36,2,9,25,39,57,57,57,57,100.00%,7,28,29,0,0,0,0,0.00%,0,76,76,76,63,82.90%,13,8,25,51
CT-501,654,637,543,85.20%,349,305,0,105,311,343,349,334,334,100.00%,75,40,55,173,176,305,305,303,209,69.00%,50,138,167,0,0,0,0,0.00%,0,555,555,555,502,90.50%,91,75,223,332
CT-502,849,809,571,70.60%,362,487,0,116,317,532,362,342,246,71.90%,95,48,42,103,259,487,487,467,325,69.60%,74,214,273,0,0,0,0,0.00%,0,579,579,579,510,88.10%,478,24,74,505
CT-503,427,418,322,77.00%,200,227,0,48,189,238,200,200,176,88.00%,12,0,24,110,90,227,227,218,146,67.00%,24,79,148,0,0,0,0,0.00%,0,657,657,657,511,77.80%,101,94,277,380
CT-504,208,197,197,100.00%,83,125,0,27,106,102,83,72,72,100.00%,19,0,11,52,31,125,125,125,125,100.00%,16,54,71,0,0,0,0,0.00%,0,231,231,231,231,100.00%,38,47,111,120
CT-505,650,569,426,74.90%,563,87,0,100,322,328,563,506,400,79.10%,25,38,93,299,264,87,87,63,26,41.30%,7,23,64,0,0,0,0,0.00%,0,534,534,534,498,93.30%,184,66,170,364
CT-506,140,128,128,100.00%,135,5,0,10,50,90,135,123,123,100.00%,2,43,10,50,85,5,5,5,5,100.00%,0,0,5,0,0,0,0,0.00%,0,145,145,145,145,100.00%,69,14,32,113
CT-507,299,256,218,85.20%,177,122,0,61,200,99,177,162,138,85.20%,20,15,30,101,76,122,122,94,80,85.10%,31,99,23,0,0,0,0,0.00%,0,240,240,217,179,82.50%,53,50,146,94
CT-508,268,253,233,92.10%,119,149,0,37,114,154,119,104,104,100.00%,0,23,11,33,86,149,149,149,129,86.60%,26,81,68,0,0,0,0,0.00%,0,128,128,128,128,100.00%,29,8,30,98
CT-509,103,84,84,100.00%,86,17,0,9,34,69,86,67,67,100.00%,0,13,9,34,52,17,17,17,17,100.00%,0,0,17,0,0,0,0,0.00%,0,162,162,162,162,100.00%,25,30,86,76
CT-510,68,68,68,100.00%,25,43,0,12,36,32,25,25,25,100.00%,0,0,2,6,19,43,43,43,43,100.00%,10,30,13,0,0,0,0,0.00%,0,43,43,43,43,100.00%,12,11,31,12
CT-512,171,156,156,100.00%,171,0,0,22,91,80,171,156,156,100.00%,0,14,22,91,80,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,255,255,255,222,87.10%,49,48,152,103
DC-500,"5,742","5,654","4,619",81.70%,"3,045","2,672",25,655,"1,926","3,816","3,045","2,977","2,796",93.90%,592,125,134,403,"2,642","2,672","2,672","2,652","1,798",67.80%,521,"1,523","1,149",25,25,25,25,100.00%,25,"3,116","3,116","3,082","1,243",40.30%,"1,162",360,"1,060","2,056"
DE-500,"1,250","1,175",755,64.30%,572,668,10,157,504,746,572,497,294,59.20%,150,166,65,213,359,668,668,668,451,67.50%,92,291,377,10,10,10,10,100.00%,10,259,259,259,191,73.70%,91,12,30,229
FL-500,882,802,392,48.90%,414,468,0,63,188,694,414,374,334,89.30%,0,0,16,58,356,468,468,428,58,13.60%,47,130,338,0,0,0,0,0.00%,0,347,347,347,0,0.00%,106,0,0,347
FL-501,987,837,773,92.40%,327,635,25,140,447,540,327,225,185,82.20%,0,61,37,90,237,635,635,587,563,95.90%,103,357,278,25,25,25,25,100.00%,25,440,440,440,242,55.00%,48,84,205,235
FL-502,"1,800","1,628","1,098",67.40%,793,982,25,154,507,"1,293",793,727,627,86.20%,150,54,71,253,540,982,982,876,446,50.90%,83,254,728,25,25,25,25,100.00%,25,406,406,406,385,94.80%,139,18,93,313
FL-503,588,553,433,78.30%,308,280,0,19,119,469,308,273,153,56.00%,0,115,7,35,273,280,280,280,280,100.00%,12,84,196,0,0,0,0,0.00%,0,78,78,78,78,100.00%,10,28,53,25
FL-504,610,462,437,94.60%,103,507,0,82,383,227,103,46,46,100.00%,33,0,9,31,72,507,507,416,391,94.00%,73,352,155,0,0,0,0,0.00%,0,131,131,131,131,100.00%,51,9,33,98
FL-505,149,111,103,92.80%,61,88,0,28,66,83,61,23,21,91.30%,130,20,12,24,37,88,88,88,82,93.20%,16,42,46,0,0,0,0,0.00%,0,70,70,70,70,100.00%,70,0,0,70
FL-506,693,566,408,72.10%,253,440,0,61,285,408,253,186,115,61.80%,150,15,20,102,151,440,440,380,293,77.10%,41,183,257,0,0,0,0,0.00%,0,254,254,254,231,90.90%,126,47,128,126
FL-507,"2,435","2,190","1,556",71.10%,"1,244","1,166",25,276,969,"1,466","1,244","1,056",812,76.90%,0,90,97,379,865,"1,166","1,166","1,109",719,64.80%,179,590,576,25,25,25,25,100.00%,25,503,503,503,101,20.10%,29,0,0,503
FL-508,396,317,220,69.40%,163,233,0,54,158,238,163,108,84,77.80%,100,36,21,58,105,233,233,209,136,65.10%,33,100,133,0,0,0,0,0.00%,0,91,91,91,91,100.00%,47,3,8,83
FL-509,257,205,205,100.00%,175,82,0,69,205,52,175,123,123,100.00%,49,0,40,123,52,82,82,82,82,100.00%,29,82,0,0,0,0,0,0.00%,0,126,126,126,126,100.00%,112,4,7,119
FL-510,"2,477","2,339","1,557",66.60%,915,"1,562",0,213,767,"1,710",915,777,690,88.80%,0,326,88,282,633,"1,562","1,562","1,562",867,55.50%,125,485,"1,077",0,0,0,0,0.00%,0,819,819,819,704,86.00%,181,34,57,762
FL-511,554,483,407,84.30%,197,357,0,51,238,316,197,126,98,77.80%,0,36,22,110,87,357,357,357,309,86.60%,29,128,229,0,0,0,0,0.00%,0,130,130,130,130,100.00%,65,0,0,130
FL-512,184,112,154,137.50%,100,84,0,57,118,66,100,52,76,146.20%,0,0,10,40,60,84,84,60,78,130.00%,47,78,6,0,0,0,0,0.00%,0,73,73,73,0,0.00%,73,0,0,73
FL-513,648,632,462,73.10%,134,514,0,82,275,373,134,118,51,43.20%,106,0,9,26,108,514,514,514,411,80.00%,73,249,265,0,0,0,0,0.00%,0,112,112,112,112,100.00%,43,36,69,43
FL-514,313,245,239,97.60%,195,118,0,16,67,246,195,127,127,100.00%,0,3,3,13,182,118,118,118,112,94.90%,13,54,64,0,0,0,0,0.00%,0,8,8,8,8,100.00%,0,0,0,8
FL-515,237,206,202,98.10%,82,155,0,18,67,170,82,51,51,100.00%,0,0,2,7,75,155,155,155,151,97.40%,16,60,95,0,0,0,0,0.00%,0,0,0,0,0,0.00%,0,0,0,0
FL-516,199,199,97,48.70%,102,97,0,26,81,118,102,102,22,21.60%,0,9,4,21,81,97,97,97,75,77.30%,22,60,37,0,0,0,0,0.00%,0,77,77,77,40,51.90%,12,40,65,12
FL-517,109,109,16,14.70%,68,41,0,5,20,89,68,68,0,0.00%,0,0,3,8,60,41,41,41,16,39.00%,2,12,29,0,0,0,0,0.00%,0,128,128,128,16,12.50%,28,18,52,76
FL-518,103,53,53,100.00%,79,24,0,0,0,103,79,37,37,100.00%,0,0,0,0,79,24,24,16,16,100.00%,0,0,24,0,0,0,0,0.00%,0,11,11,11,11,100.00%,11,0,0,11
FL-519,228,172,78,45.30%,183,45,0,24,74,154,183,127,33,26.00%,100,0,24,74,109,45,45,45,45,100.00%,0,0,45,0,0,0,0,0.00%,0,30,30,30,30,100.00%,0,10,30,0
FL-520,289,193,161,83.40%,125,156,8,26,89,200,125,39,11,28.20%,0,"1,213",18,68,57,156,156,146,146,100.00%,8,21,135,8,8,8,4,50.00%,8,63,63,63,58,92.10%,4,0,0,63
FL-600,"3,330","2,870","1,969",68.60%,"1,407","1,895",28,364,"1,492","1,838","1,407","1,318",965,73.20%,0,429,147,621,786,"1,895","1,895","1,524",976,64.00%,217,871,"1,024",28,28,28,28,100.00%,28,"2,492","2,492","2,492","2,488",99.80%,478,402,"1,332","1,160"
FL-601,"2,495","2,433","1,169",48.00%,704,"1,713",78,195,626,"1,869",704,642,555,86.40%,0,145,53,226,478,"1,713","1,713","1,713",536,31.30%,142,400,"1,313",78,78,78,78,100.00%,78,"1,830","1,830","1,351","1,107",81.90%,207,392,"1,321",509
FL-602,150,131,115,87.80%,62,88,0,28,62,88,62,56,40,71.40%,0,0,4,10,52,88,88,75,75,100.00%,24,52,36,0,0,0,0,0.00%,0,69,69,69,69,100.00%,15,18,36,33
FL-603,423,366,316,86.30%,139,284,0,20,79,344,139,82,82,100.00%,0,0,8,43,96,284,284,284,234,82.40%,12,36,248,0,0,0,0,0.00%,0,103,103,103,103,100.00%,64,5,11,92
FL-604,517,467,467,100.00%,267,250,0,29,94,423,267,217,217,100.00%,0,32,15,42,225,250,250,250,250,100.00%,14,52,198,0,0,0,0,0.00%,0,168,168,168,168,100.00%,47,12,30,138
FL-605,713,485,489,100.80%,412,287,14,78,336,377,412,262,284,108.40%,0,82,50,226,186,287,287,209,191,91.40%,28,110,177,14,14,14,14,100.00%,14,393,393,393,349,88.80%,99,60,227,166
FL-606,270,210,188,89.50%,196,74,0,29,88,182,196,156,138,88.50%,0,49,18,57,139,74,74,54,50,92.60%,11,31,43,0,0,0,0,0.00%,0,38,38,38,22,57.90%,0,2,4,34
GA-500,"4,783","4,681","3,388",72.40%,"1,797","2,971",15,407,"1,516","3,267","1,797","1,734","1,155",66.60%,392,65,93,345,"1,452","2,971","2,971","2,932","2,218",75.60%,314,"1,171","1,800",15,15,15,15,100.00%,15,"1,731","1,731","1,731","1,024",59.20%,237,173,562,"1,169"
GA-501,"3,090","2,014","1,807",89.70%,"1,686","1,404",0,501,"1,769","1,321","1,686",905,755,83.40%,112,42,253,901,785,"1,404","1,404","1,109","1,052",94.90%,248,868,536,0,0,0,0,0.00%,0,"1,349","1,349","1,245","1,121",90.00%,224,333,752,597
GA-503,213,197,138,70.10%,119,94,0,28,97,116,119,103,75,72.80%,15,0,10,31,88,94,94,94,63,67.00%,18,66,28,0,0,0,0,0.00%,0,73,73,73,73,100.00%,56,6,17,56
