,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,939","1,499","1,228",81.90%,"1,208",731,0,289,860,"1,079","1,208",848,670,79.00%,20,59,172,561,647,731,731,651,558,85.70%,117,299,432,0,0,0,0,0.00%,0,586,586,581,434,74.70%,50,54,129,457
AL,"4,497","3,965","2,052",51.80%,"1,830","2,633",34,494,"1,562","2,935","1,830","1,534",993,64.70%,86,170,226,652,"1,178","2,633","2,633","2,397","1,025",42.80%,268,910,"1,723",34,34,34,34,100.00%,34,"2,533","2,533","2,533","1,470",58.00%,563,285,871,"1,662"
AR,"2,710","2,109","1,417",67.20%,"1,590","1,120",0,444,"1,052","1,658","1,590","1,129",718,63.60%,0,146,281,644,946,"1,120","1,120",980,699,71.30%,163,408,712,0,0,0,0,0.00%,0,"1,056","1,056","1,046",674,64.40%,96,154,364,692
AZ,"8,748","7,053","6,073",86.10%,"4,091","4,617",40,"1,500","4,769","3,979","4,091","2,869","2,196",76.50%,219,253,564,"1,821","2,270","4,617","4,617","4,144","3,837",92.60%,936,"2,948","1,669",40,40,40,40,100.00%,40,"4,731","4,731","4,681","4,316",92.20%,826,516,"1,582","3,149"
CA,"49,657","44,325","31,135",70.20%,"19,958","29,501",198,"6,799","23,043","26,614","19,958","17,337","10,719",61.80%,"5,639","5,901","2,302","7,959","11,999","29,501","29,501","26,790","20,220",75.50%,"4,497","15,084","14,417",198,198,198,196,99.00%,198,"42,530","42,530","42,430","22,509",53.00%,"11,696","6,380","17,890","24,640"
CO,"6,361","5,620","4,944",88.00%,"2,619","3,717",25,"1,262","3,475","2,886","2,619","1,995","1,705",85.50%,310,632,425,"1,230","1,389","3,717","3,717","3,600","3,214",89.30%,837,"2,245","1,472",25,25,25,25,100.00%,25,"2,947","2,947","2,947","2,502",84.90%,959,319,838,"2,109"
CT,"3,906","3,589","3,136",87.40%,"2,333","1,573",0,515,"1,596","2,310","2,333","2,124","1,924",90.60%,391,260,282,945,"1,388","1,573","1,573","1,465","1,212",82.70%,233,651,922,0,0,0,0,0.00%,0,"4,721","4,721","4,673","3,594",76.90%,"1,713",641,"1,976","2,745"
DC,"6,479","6,373","5,491",86.20%,"3,427","3,052",0,"1,024","3,033","3,446","3,427","3,341","3,177",95.10%,673,0,371,"1,082","2,345","3,052","3,052","3,032","2,314",76.30%,653,"1,951","1,101",0,0,0,0,0.00%,0,"5,566","5,566","5,531","3,266",59.00%,"3,882",696,"2,222","3,344"
DE,"1,216","1,146",682,59.50%,515,691,10,169,541,675,515,445,289,64.90%,125,101,68,201,314,691,691,691,383,55.40%,101,340,351,10,10,10,10,100.00%,10,471,471,471,383,81.30%,168,14,37,434
FL,"23,974","21,170","15,874",75.00%,"9,774","14,022",178,"2,911","9,672","14,302","9,774","7,954","6,749",84.90%,735,"1,747","1,031","3,695","6,079","14,022","14,022","13,038","8,947",68.60%,"1,880","5,977","8,045",178,178,178,178,100.00%,178,"11,786","11,786","11,786","7,600",64.50%,"2,616","1,581","4,463","7,323"
GA,"11,167","9,668","6,459",66.80%,"5,137","6,030",0,"1,319","4,827","6,340","5,137","4,292","2,703",63.00%,193,200,420,"1,566","3,571","6,030","6,030","5,376","3,756",69.90%,899,"3,261","2,769",0,0,0,0,0.00%,0,"5,512","5,512","5,456","3,550",65.10%,"2,842","1,112","2,767","2,745"
GU,264,199,194,97.50%,109,155,0,60,193,71,109,54,54,100.00%,0,7,25,75,34,155,155,145,140,96.60%,35,118,37,0,0,0,0,0.00%,0,101,101,101,53,52.50%,64,10,37,64
HI,"4,250","4,041","3,865",95.60%,"1,522","2,703",25,775,"3,021","1,229","1,522","1,351","1,316",97.40%,0,64,220,893,629,"2,703","2,703","2,665","2,524",94.70%,555,"2,128",575,25,25,25,25,100.00%,25,"1,067","1,067","1,067","1,022",95.80%,455,75,257,810
IA,"3,982","3,277","2,799",85.40%,"1,578","2,404",0,724,"2,252","1,730","1,578","1,119",820,73.30%,37,56,234,748,830,"2,404","2,404","2,158","1,979",91.70%,490,"1,504",900,0,0,0,0,0.00%,0,894,894,894,650,72.70%,132,141,430,464
ID,"1,895","1,512",933,61.70%,958,937,0,349,"1,024",871,958,667,335,50.20%,0,48,168,423,535,937,937,845,598,70.80%,181,601,336,0,0,0,0,0.00%,0,539,539,539,437,81.10%,218,86,246,293
IL,"13,045","11,715","8,867",75.70%,"5,595","7,348",102,"2,073","6,601","6,444","5,595","4,789","2,914",60.80%,759,"1,192",477,"1,604","3,991","7,348","7,348","6,824","5,851",85.70%,"1,596","4,997","2,351",102,102,102,102,100.00%,102,"10,833","10,833","10,833","8,875",81.90%,"2,559","1,364","3,936","6,897"
IN,"7,245","5,846","3,573",61.10%,"3,838","3,382",25,"1,228","3,883","3,362","3,838","2,914","1,704",58.50%,346,410,615,"1,971","1,867","3,382","3,382","2,907","1,844",63.40%,613,"1,912","1,470",25,25,25,25,100.00%,25,"2,195","2,195","2,187","1,683",77.00%,436,280,771,"1,424"
KS,"2,942","2,358","1,514",64.20%,"1,710","1,212",20,485,"1,595","1,347","1,710","1,251",827,66.10%,145,159,238,822,888,"1,212","1,212","1,087",667,61.40%,247,773,439,20,20,20,20,100.00%,20,"1,147","1,147","1,147",726,63.30%,430,88,249,898
