,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK-500,"1,001",925,812,87.80%,571,430,0,124,350,651,0,571,505,425,84.20%,0,169,40,151,420,0,430,430,420,387,92.10%,84,199,231,.,0,0,0,0,0.00%,0,0,516,516,516,420,81.40%,37,47,155,361,0
AK-501,876,528,401,75.90%,620,256,0,134,393,451,32,620,335,263,78.50%,19,2,104,295,298,27,256,256,193,138,71.50%,30,98,153,5,0,0,0,0,0.00%,0,0,153,153,148,75,50.70%,24,24,60,93,0
AL-500,"1,131","1,044",700,67.00%,350,747,34,135,421,692,18,350,305,270,88.50%,0,55,25,75,257,18,747,747,705,396,56.20%,110,346,401,.,34,34,34,34,100.00%,34,0,"1,361","1,361","1,361","1,012",74.40%,285,194,665,696,0
AL-501,379,301,293,97.30%,251,128,0,74,206,173,0,251,202,202,100.00%,0,14,39,112,139,0,128,128,99,91,91.90%,35,94,34,0,0,0,0,0,0.00%,0,0,214,214,214,173,80.80%,81,17,43,171,0
AL-502,250,198,34,17.20%,44,206,0,19,73,177,0,44,44,34,77.30%,0,10,3,18,26,0,206,206,154,0,0.00%,16,55,151,.,0,0,0,0,0.00%,0,0,77,77,77,0,0.00%,3,0,0,77,0
AL-503,581,535,273,51.00%,449,132,0,70,213,368,0,449,403,200,49.60%,0,8,19,105,344,0,132,132,132,73,55.30%,51,108,24,.,0,0,0,0,0.00%,0,0,145,145,145,50,34.50%,0,85,85,60,0
AL-504,413,351,351,100.00%,133,280,0,37,103,310,0,133,127,127,100.00%,0,0,5,15,118,0,280,280,224,224,100.00%,32,88,192,.,0,0,0,0,0.00%,0,0,327,327,327,177,54.10%,158,35,95,232,0
AL-505,481,450,103,22.90%,258,223,0,33,97,312,72,258,237,78,32.90%,66,41,32,92,94,72,223,223,213,25,11.70%,1,5,218,0,0,0,0,0,0.00%,0,0,20,20,20,12,60.00%,0,20,20,0,0
AL-506,161,95,8,8.40%,28,133,0,19,62,99,0,28,2,0,0.00%,0,0,9,19,9,0,133,133,93,8,8.60%,10,43,90,.,0,0,0,0,0.00%,0,0,122,122,122,15,12.30%,50,0,0,122,0
AL-507,901,778,45,5.80%,503,398,0,91,244,657,0,503,380,33,8.70%,0,1,88,237,266,0,398,398,398,12,3.00%,3,7,391,.,0,0,0,0,0.00%,0,0,343,343,343,0,0.00%,17,3,11,332,0
AR-500,"1,009",853,633,74.20%,494,515,0,110,315,694,0,494,438,243,55.50%,0,134,47,116,378,0,515,515,415,390,94.00%,63,199,316,.,0,0,0,0,0.00%,0,0,704,704,698,548,78.50%,77,110,303,401,0
