,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK,"1,877","1,453","1,213",83.50%,"1,191",686,0,258,743,"1,102",32,"1,191",840,688,81.90%,19,171,144,446,718,27,686,686,613,525,85.60%,114,297,384,5,0,0,0,0,0.00%,0,0,669,669,664,495,74.50%,61,71,215,454,0
AL,"4,297","3,752","1,807",48.20%,"2,016","2,247",34,478,"1,419","2,788",90,"2,016","1,700",944,55.50%,66,129,220,673,"1,253",90,"2,247","2,247","2,018",829,41.10%,258,746,"1,501",0,34,34,34,34,100.00%,34,0,"2,609","2,609","2,609","1,439",55.20%,594,354,919,"1,690",0
AR,"2,662","2,124","1,373",64.60%,"1,610","1,052",0,447,"1,037","1,610",15,"1,610","1,208",695,57.50%,0,154,284,653,942,15,"1,052","1,052",916,678,74.00%,163,384,668,0,0,0,0,0,0.00%,0,0,"1,069","1,069","1,059",642,60.60%,84,154,356,713,0
AZ,"9,238","7,556","6,511",86.20%,"4,271","4,927",40,"1,589","5,148","4,084",6,"4,271","3,060","2,568",83.90%,285,271,581,"1,915","2,356",0,"4,927","4,927","4,456","3,903",87.60%,"1,008","3,233","1,688",6,40,40,40,40,100.00%,40,0,"6,095","6,095","6,095","4,779",78.40%,857,673,"2,054","4,041",0
CA,"47,144","42,050","31,842",75.70%,"17,541","29,429",174,"6,408","22,244","24,549",351,"17,541","14,923","10,544",70.70%,"5,772","2,938","1,859","6,798","10,483",260,"29,429","29,429","26,953","21,124",78.40%,"4,549","15,446","13,892",91,174,174,174,174,100.00%,174,0,"50,057","50,057","49,763","29,809",59.90%,"12,966","6,945","21,722","28,335",0
CO,"6,536","5,960","5,444",91.30%,"2,495","4,016",25,"1,193","3,507","2,912",117,"2,495","2,021","1,804",89.30%,401,629,323,"1,180","1,299",16,"4,016","4,016","3,914","3,615",92.40%,870,"2,327","1,588",101,25,25,25,25,100.00%,25,0,"2,992","2,992","2,992","2,689",89.90%,"1,087",358,917,"2,075",0
CT,"3,539","3,261","3,026",92.80%,"2,158","1,381",0,487,"1,518","2,017",4,"2,158","1,961","1,903",97.00%,450,152,271,907,"1,247",4,"1,381","1,381","1,300","1,123",86.40%,216,611,770,0,0,0,0,0,0.00%,0,0,"5,263","5,263","5,215","3,780",72.50%,"1,974",730,"2,147","3,116",0
DC,"6,243","6,161","5,312",86.20%,"3,317","2,926",0,932,"2,882","3,341",20,"3,317","3,235","3,108",96.10%,"1,174",0,330,"1,058","2,243",16,"2,926","2,926","2,926","2,204",75.30%,602,"1,824","1,098",4,0,0,0,0,0.00%,0,0,"6,452","6,452","6,417","3,896",60.70%,"5,014",956,"3,214","3,238",0
DE,"1,239","1,166",603,51.70%,529,700,10,200,610,629,0,529,456,289,63.40%,100,147,68,204,325,0,700,700,700,304,43.40%,132,406,294,.,10,10,10,10,100.00%,10,0,508,508,508,297,58.50%,220,25,73,435,0
FL,"23,272","20,589","16,088",78.10%,"10,162","12,932",178,"2,853","9,613","13,533",126,"10,162","8,337","6,879",82.50%,747,"1,275","1,087","3,914","6,162",86,"12,932","12,932","12,074","9,031",74.80%,"1,766","5,699","7,193",40,178,178,178,178,100.00%,178,0,"13,892","13,892","13,584","9,092",66.90%,"3,300","2,101","5,680","8,142",70
GA,"9,534","7,891","6,129",77.70%,"4,668","4,846",20,"1,422","4,345","5,134",55,"4,668","3,797","2,644",69.60%,227,292,560,"1,677","2,962",29,"4,846","4,846","4,094","3,485",85.10%,862,"2,668","2,152",26,20,20,0,0,0.00%,20,0,"4,822","4,822","4,796","4,089",85.30%,"1,302",974,"1,994","2,828",0
GU,259,206,194,94.20%,109,150,0,59,181,66,12,109,66,54,81.80%,0,7,24,63,34,12,150,150,140,140,100.00%,35,118,32,.,0,0,0,0,0.00%,0,0,130,130,130,57,43.80%,68,17,69,61,0
HI,"4,230","4,021","3,998",99.40%,"1,490","2,715",25,780,"2,939","1,291",0,"1,490","1,319","1,296",98.30%,0,64,218,809,681,0,"2,715","2,715","2,677","2,677",100.00%,562,"2,130",585,0,25,25,25,25,100.00%,25,0,"1,263","1,263","1,263","1,245",98.60%,659,69,191,"1,072",0
IA,"3,627","2,932","2,496",85.10%,"1,540","2,087",0,651,"2,090","1,527",10,"1,540","1,084",861,79.40%,45,27,208,684,856,0,"2,087","2,087","1,848","1,635",88.50%,443,"1,406",671,10,0,0,0,0,0.00%,0,0,"1,046","1,046","1,046",757,72.40%,195,160,491,555,0
ID,"1,795","1,438",912,63.40%,927,868,0,303,948,831,16,927,632,326,51.60%,0,125,149,407,504,16,868,868,806,586,72.70%,154,541,327,0,0,0,0,0,0.00%,0,0,670,670,661,521,78.80%,258,103,316,354,0
