,"Total Beds (ES,TH,SH)",,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Rapid ReHousing (RRH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES,TH,RRH,SH)","Total Non-DV Year-Round Beds (ES,TH,RRH,SH)","Total HMIS Year-Round Beds (ES,TH,RRH,SH)","HMIS Participation Rate (ES,TH,RRH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Rapid Rehousing (RRH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH,RRH)","Total Beds for Households with Children (ES,TH,RRH)","Total Beds for Households without Children (ES,TH,RRH,SH)","Total Beds for Households with only Children (ES,TH,RRH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total RRH Beds,Total Year-Round RRH Beds,Total Non-DV Year-Round RRH Beds,Total HMIS Year-Round RRH Beds,RRH HMIS Participation Rate,Total RRH Units for Households with Children,Total RRH Beds for Households with Children,Total RRH Beds for Households without Children,Total RRH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK-500,1015,939,769,81.90%,574,441,0,0,90,310,705,0,574,522,425,81.40%,17,148,43,154,420,0,441,441,417,344,82.50%,47,156,285,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,604,604,604,576,95.40%,84,50,178,426,0
AK-501,880,521,402,77.20%,630,250,0,0,125,353,511,16,630,339,274,80.80%,20,16,99,272,346,12,250,250,182,128,70.30%,26,81,165,4,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,188,188,188,188,100.00%,36,15,45,143,0
AL-500,1222,1135,793,69.90%,354,834,0,34,166,499,705,18,354,309,276,89.30%,0,55,25,75,261,18,834,834,792,483,61.00%,141,424,410,0,0,0,0,0,0.00%,0,0,0,0,34,34,34,34,100.00%,34,0,1361,1361,1361,1062,78.00%,285,194,665,696,0
AL-501,386,308,300,97.40%,251,130,5,0,70,208,178,0,251,202,202,100.00%,0,27,37,112,139,0,130,130,101,93,92.10%,33,96,34,0,5,5,5,5,100.00%,0,0,5,0,0,0,0,0,0.00%,0,0,217,217,217,179,82.50%,77,13,36,181,0
AL-502,258,180,38,21.10%,67,191,0,0,32,113,145,0,67,67,38,56.70%,0,0,8,34,33,0,191,191,113,0,0.00%,24,79,112,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,68,68,68,0,0.00%,10,0,0,68,0
AL-503,559,509,259,50.90%,442,117,0,0,63,187,372,0,442,397,206,51.90%,0,12,23,100,342,0,117,117,112,53,47.30%,40,87,30,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,178,178,178,93,52.20%,18,21,21,157,0
AL-504,458,396,396,100.00%,151,307,0,0,52,135,323,0,151,145,145,100.00%,0,0,15,30,121,0,307,307,251,251,100.00%,37,105,202,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,348,348,348,179,51.40%,227,39,109,239,0
AL-505,386,355,103,29.00%,258,128,0,0,33,97,217,72,258,237,78,32.90%,66,41,32,92,94,72,128,128,118,25,21.20%,1,5,123,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,12,12,12,12,100.00%,0,12,12,0,0
AL-506,154,128,40,31.30%,28,126,0,0,15,51,103,0,28,2,0,0.00%,0,0,9,19,9,0,126,126,126,40,31.70%,6,32,94,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,160,160,160,23,14.40%,58,0,0,160,0
AL-507,654,542,45,8.30%,392,262,0,0,95,339,315,0,392,280,33,11.80%,0,1,72,196,196,0,262,262,262,12,4.60%,23,143,119,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,56,56,56,0,0.00%,4,2,8,48,0
AR-500,870,714,445,62.30%,428,383,59,0,65,224,646,0,428,372,191,51.30%,0,134,24,88,340,0,383,383,283,195,68.90%,35,117,266,0,59,59,59,59,100.00%,6,19,40,0,0,0,0,0,0.00%,0,0,761,761,755,555,73.50%,71,110,303,458,0
AR-501,433,361,247,68.40%,275,158,0,0,37,109,279,45,275,203,122,60.10%,0,151,13,43,187,45,158,158,158,125,79.10%,24,66,92,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,130,130,130,45,34.60%,0,0,0,130,0
AR-503,758,599,388,64.80%,628,130,0,0,116,300,458,0,628,493,294,59.60%,0,31,86,251,377,0,130,130,106,94,88.70%,30,49,81,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,13,13,13,8,61.50%,3,0,0,13,0
AR-504,276,186,46,24.70%,154,122,0,0,27,103,173,0,154,64,26,40.60%,0,3,27,103,51,0,122,122,122,20,16.40%,0,0,122,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,86,86,86,59,68.60%,0,14,17,69,0
AR-505,164,73,0,0.00%,140,24,0,0,27,82,67,15,140,61,0,0.00%,0,0,17,70,55,15,24,24,12,0,0.00%,10,12,12,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,16,16,16,0,0.00%,0,4,4,12,0
AR-512,60,30,30,100.00%,30,30,0,0,9,45,15,0,30,0,0,0.00%,0,0,6,26,4,0,30,30,30,30,100.00%,3,19,11,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
AZ-500,1498,1027,820,79.80%,929,566,3,0,232,878,601,19,929,530,417,78.70%,80,119,122,522,401,6,566,566,494,400,81.00%,109,353,200,13,3,3,3,3,100.00%,1,3,0,0,0,0,0,0,0.00%,0,0,626,626,626,470,75.10%,38,127,236,390,0
AZ-501,1868,1773,1741,98.20%,665,1108,80,15,297,906,961,1,665,615,583,94.80%,124,84,88,275,390,0,1108,1108,1080,1080,100.00%,186,567,540,1,80,80,63,63,100.00%,23,64,16,0,15,15,15,15,100.00%,15,0,1442,1442,1442,977,67.80%,197,184,471,971,0
AZ-502,5616,4625,4013,86.80%,2579,2896,116,25,974,3230,2386,0,2579,1826,1628,89.20%,0,111,353,1170,1409,0,2896,2896,2658,2244,84.40%,576,1944,952,0,116,116,116,116,100.00%,45,116,0,0,25,25,25,25,100.00%,25,0,4717,4717,4717,3483,73.80%,734,469,1484,3233,0
CA-500,1811,1607,1434,89.20%,587,1214,0,10,297,947,844,20,587,545,545,100.00%,321,77,54,192,375,20,1214,1214,1052,879,83.60%,243,755,459,0,0,0,0,0,0.00%,0,0,0,0,10,10,10,10,100.00%,10,0,3338,3338,3301,1006,30.50%,710,446,1429,1909,0
CA-501,2749,2646,2153,81.40%,1622,1073,0,54,316,865,1884,0,1622,1545,1403,90.80%,60,0,163,436,1186,0,1073,1073,1047,696,66.50%,153,429,644,0,0,0,0,0,0.00%,0,0,0,0,54,54,54,54,100.00%,54,0,6637,6637,6637,5940,89.50%,3465,510,1464,5173,0
CA-502,2246,1998,1636,81.90%,856,1208,182,0,445,1448,798,0,856,653,423,64.80%,185,28,101,437,419,0,1208,1208,1163,1033,88.80%,287,836,372,0,182,182,182,180,98.90%,57,175,7,0,0,0,0,0,0.00%,0,0,2367,2367,2367,1721,72.70%,416,305,871,1496,0
CA-503,1554,1530,1112,72.70%,578,976,0,0,202,698,856,0,578,554,402,72.60%,198,58,54,261,317,0,976,976,976,710,72.70%,148,437,539,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,2301,2301,2301,1692,73.50%,368,332,1055,1246,0
CA-504,1132,1081,873,80.80%,547,529,56,0,160,537,589,6,547,525,449,85.50%,25,13,44,193,348,6,529,529,500,368,73.60%,104,296,233,0,56,56,56,56,100.00%,12,48,8,0,0,0,0,0,0.00%,0,0,876,876,869,472,54.30%,356,97,341,535,0
CA-505,736,703,614,87.30%,394,278,64,0,105,334,387,15,394,369,295,79.90%,42,22,32,103,291,0,278,278,270,255,94.40%,62,193,70,15,64,64,64,64,100.00%,11,38,26,0,0,0,0,0,0.00%,0,0,977,977,977,973,99.60%,394,210,489,488,0
CA-506,877,802,594,74.10%,333,544,0,0,111,459,418,0,333,258,99,38.40%,105,28,19,96,237,0,544,544,544,495,91.00%,92,363,181,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,251,251,251,86,34.30%,131,31,89,162,0
CA-507,532,428,409,95.60%,170,362,0,0,78,276,256,0,170,170,170,100.00%,66,9,10,49,121,0,362,362,258,239,92.60%,68,227,135,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,490,490,490,481,98.20%,198,20,65,425,0
CA-508,601,583,463,79.40%,322,279,0,0,117,365,236,0,322,304,267,87.80%,100,3,49,153,169,0,279,279,279,196,70.30%,68,212,67,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,302,302,302,122,40.40%,224,26,68,234,0
CA-509,193,169,116,68.60%,103,90,0,0,11,35,157,1,103,89,88,98.90%,0,12,2,12,90,1,90,90,80,28,35.00%,9,23,67,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,401,401,401,258,64.30%,0,95,233,168,0
CA-510,558,532,495,93.00%,258,276,24,0,37,169,328,61,258,234,228,97.40%,209,0,15,84,113,61,276,276,274,243,88.70%,15,67,209,0,24,24,24,24,100.00%,7,18,6,0,0,0,0,0,0.00%,0,0,380,380,380,370,97.40%,125,51,153,227,0
CA-511,1409,1372,1287,93.80%,846,563,0,0,214,834,562,13,846,809,768,94.90%,50,51,88,384,449,13,563,563,563,519,92.20%,126,450,113,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,555,555,555,436,78.60%,169,86,227,328,0
CA-512,840,784,677,86.40%,229,571,40,0,131,535,299,6,229,207,120,58.00%,40,9,23,84,139,6,571,571,537,517,96.30%,100,418,153,0,40,40,40,40,100.00%,8,33,7,0,0,0,0,0,0.00%,0,0,596,596,596,505,84.70%,320,41,135,461,0
CA-513,535,453,393,86.80%,237,298,0,0,49,223,312,0,237,196,156,79.60%,0,29,20,124,113,0,298,298,257,237,92.20%,29,99,199,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,180,180,180,129,71.70%,26,38,114,66,0
CA-514,1002,832,465,55.90%,433,515,30,24,192,615,365,22,433,325,20,6.20%,0,0,87,260,153,20,515,515,453,391,86.30%,102,343,170,2,30,30,30,30,100.00%,3,12,18,0,24,24,24,24,100.00%,24,0,752,752,752,321,42.70%,235,83,279,473,0
CA-515,508,419,233,55.60%,198,310,0,0,93,297,211,0,198,144,140,97.20%,0,32,26,95,103,0,310,310,275,93,33.80%,67,202,108,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,179,179,179,155,86.60%,86,19,50,129,0
CA-516,500,474,440,92.80%,128,372,0,0,70,186,314,0,128,102,102,100.00%,0,41,4,36,92,0,372,372,372,338,90.90%,66,150,222,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,34,34,34,34,100.00%,34,0,0,34,0
