,"Total Beds (ES,TH,SH)",,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,Transitional Housing (TH),,,,,,,,,Rapid ReHousing (RRH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,RRH,SH)","Total Non-DV Year-Round Beds (ES,TH,RRH,SH)","Total HMIS Year-Round Beds (ES,TH,RRH,SH)","HMIS Participation Rate (ES,TH,RRH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Rapid Rehousing (RRH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH,RRH)","Total Beds for Households with Children (ES,TH,RRH)","Total Beds for Households without Children (ES,TH,RRH,SH)","Total Beds for Households with only Children (ES,TH,RRH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total RRH Beds,Total Year-Round RRH Beds,Total Non-DV Year-Round RRH Beds,Total HMIS Year-Round RRH Beds,RRH HMIS Participation Rate,Total RRH Units for Households with Children,Total RRH Beds for Households with Children,Total RRH Beds for Households without Children,Total RRH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
AK,1895,1460,1171,80.20%,1204,691,0,0,215,663,1216,16,1204,861,699,81.20%,37,164,142,426,766,12,,691,691,599,472,78.80%,73,237,450,4,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,792,792,792,764,96.50%,120,65,223,569,0
AL,4077,3553,1974,55.60%,1943,2095,5,34,526,1629,2358,90,1943,1639,978,59.70%,66,136,221,658,1195,90,,2095,2095,1875,957,51.00%,305,971,1124,0,5,5,5,5,100.00%,0,0,5,0,34,34,34,34,100.00%,34,0,2400,2400,2400,1548,64.50%,679,281,851,1549,0
AR,2561,1963,1156,58.90%,1655,847,59,0,281,863,1638,60,1655,1193,633,53.10%,0,319,173,581,1014,60,,847,847,711,464,65.30%,102,263,584,0,59,59,59,59,100.00%,6,19,40,0,0,0,0,0,0.00%,0,0,1006,1006,1000,667,66.70%,74,128,324,682,0
AZ,8982,7425,6574,88.50%,4173,4570,199,40,1503,5014,3948,20,4173,2971,2628,88.50%,204,314,563,1967,2200,6,,4570,4570,4232,3724,88.00%,871,2864,1692,14,199,199,182,182,100.00%,69,183,16,0,40,40,40,40,100.00%,40,0,6785,6785,6785,4930,72.70%,969,780,2191,4594,0
CA,45411,40146,31307,78.00%,16680,27977,547,207,6252,21281,23711,419,16680,14238,10940,76.80%,5614,3071,1650,6340,9995,345,,27977,27977,25186,19680,78.10%,4479,14532,13371,74,547,547,515,480,93.20%,123,409,138,0,207,207,207,207,100.00%,207,0,41633,41633,41485,27409,66.10%,12347,5064,14229,27404,0
CO,7744,7028,6022,85.70%,3153,4358,208,25,1419,4193,3239,312,3153,2595,2050,79.00%,690,566,471,1431,1669,53,,4358,4358,4200,3757,89.50%,928,2708,1391,259,208,208,208,190,91.30%,20,54,154,0,25,25,25,25,100.00%,25,0,2996,2996,2996,2355,78.60%,1061,265,626,2370,0
CT,3634,3322,3068,92.40%,2158,1284,192,0,550,1643,1977,14,2158,1920,1814,94.50%,351,139,278,899,1245,14,,1284,1284,1210,1062,87.80%,197,569,715,0,192,192,192,192,100.00%,75,175,17,0,0,0,0,0,0.00%,0,0,5817,5817,5745,4824,84.00%,2046,835,2464,3353,0
DC,7854,7754,7183,92.60%,3856,2812,1186,0,1469,4611,3228,15,3856,3763,3620,96.20%,549,0,476,1587,2258,11,,2812,2812,2805,2377,84.70%,617,1838,970,4,1186,1186,1186,1186,100.00%,376,1186,0,0,0,0,0,0,0.00%,0,0,6224,6224,6180,3724,60.30%,4641,833,2674,3550,0
DE,1263,1165,697,59.80%,552,698,3,10,205,639,624,0,552,454,313,68.90%,72,52,69,237,315,0,,698,698,698,371,53.20%,135,400,298,0,3,3,3,3,100.00%,1,2,1,0,10,10,10,10,100.00%,10,0,552,552,552,492,89.10%,207,15,43,509,0
FL,24292,21495,16032,74.60%,9923,13337,854,178,3092,10222,13692,378,9923,8026,6199,77.20%,754,1165,1005,3548,6148,227,,13337,13337,12437,9318,74.90%,1875,6032,7154,151,854,854,854,378,44.30%,212,642,212,0,178,178,178,137,77.00%,178,0,14592,14592,14204,8459,59.60%,3811,2219,6166,8426,0
GA,9371,7897,6379,80.80%,4336,4487,548,0,1216,4197,5156,18,4336,3487,2696,77.30%,239,1169,461,1666,2652,18,,4487,4487,3869,3145,81.30%,631,2118,2369,0,548,548,541,538,99.40%,124,413,135,0,0,0,0,0,0.00%,0,0,7053,7053,7023,4660,66.40%,2593,1220,2832,4221,0
GU,193,140,128,91.40%,109,84,0,0,44,124,57,12,109,66,54,81.80%,0,7,24,70,27,12,,84,84,74,74,100.00%,20,54,30,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,144,144,144,71,49.30%,70,21,79,65,0
HI,4112,3905,3856,98.70%,1508,2579,0,25,746,2775,1321,16,1508,1334,1285,96.30%,0,64,209,759,733,16,,2579,2579,2546,2546,100.00%,537,2016,563,0,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,1382,1382,1382,1208,87.40%,563,67,274,1108,0
IA,3828,3125,2497,79.90%,1623,2141,64,0,649,2151,1668,9,1623,1165,800,68.70%,39,45,202,663,960,0,,2141,2141,1913,1650,86.30%,434,1457,675,9,64,64,47,47,100.00%,13,31,33,0,0,0,0,0,0.00%,0,0,1129,1129,1129,774,68.60%,231,168,524,605,0
ID,1996,1628,1095,67.30%,922,840,234,0,352,1085,887,24,922,620,302,48.70%,0,45,154,403,495,24,,840,840,774,572,73.90%,138,483,357,0,234,234,234,221,94.40%,60,199,35,0,0,0,0,0,0.00%,0,0,778,778,769,609,79.20%,303,124,399,379,0
IL,12787,11412,9187,80.50%,5431,7223,38,95,1959,6499,6213,75,5431,4574,3227,70.60%,722,1207,430,1705,3657,69,,7223,7223,6713,5835,86.90%,1521,4770,2447,6,38,38,30,30,100.00%,8,24,14,0,95,95,95,95,100.00%,95,0,11554,11554,11554,9312,80.60%,3851,1487,3955,7571,28
IN,7758,6344,3862,60.90%,3989,3187,557,25,1301,4210,3461,87,3989,3102,1454,46.90%,396,268,585,1973,1943,73,,3187,3187,2660,1826,68.60%,585,1813,1360,14,557,557,557,557,100.00%,131,424,133,0,25,25,25,25,100.00%,25,0,2804,2804,2786,2024,72.60%,698,346,1043,1761,0
KS,3120,2438,1549,63.50%,1792,1308,0,20,439,1542,1578,0,1792,1281,827,64.60%,109,56,203,786,1006,0,,1308,1308,1137,702,61.70%,236,756,552,0,0,0,0,0,0.00%,0,0,0,0,20,20,20,20,100.00%,20,0,1216,1216,1216,878,72.20%,443,130,307,909,0
KY,4970,4248,3133,73.80%,2410,2371,179,10,732,2061,2864,45,2410,1956,1250,63.90%,60,191,308,884,1489,37,,2371,2371,2111,1702,80.60%,387,1058,1305,8,179,179,171,171,100.00%,37,119,60,0,10,10,10,10,100.00%,10,0,3025,3025,2789,2205,79.10%,443,482,1336,1689,0
LA,4662,4092,3191,78.00%,2053,2530,47,32,608,1970,2668,24,2053,1654,1234,74.60%,61,163,216,784,1258,11,,2530,2530,2359,1878,79.60%,382,1159,1358,13,47,47,47,47,100.00%,10,27,20,0,32,32,32,32,100.00%,32,0,4732,4732,4646,3435,73.90%,1503,839,1656,3076,0
MA,18047,16970,15217,89.70%,10439,4557,2992,59,4343,12494,5523,30,10439,9971,8963,89.90%,325,4062,2414,7622,2795,22,,4557,4557,3948,3204,81.20%,706,1923,2626,8,2992,2992,2992,2992,100.00%,1223,2949,43,0,59,59,59,58,98.30%,59,0,11753,11753,11674,8126,69.60%,4291,1255,3397,8356,0
MD,6080,5571,4547,81.60%,2856,3063,56,105,794,2903,3165,12,2856,2462,2103,85.40%,957,784,310,1338,1506,12,,3063,3063,2963,2298,77.60%,469,1513,1550,0,56,56,41,41,100.00%,15,52,4,0,105,105,105,105,100.00%,105,0,7223,7223,7223,5767,79.80%,741,1248,3684,3539,0
ME,3243,2865,2682,93.60%,1198,2030,0,15,682,1944,1250,49,1198,1021,895,87.70%,0,132,178,534,622,42,,2030,2030,1829,1772,96.90%,504,1410,613,7,0,0,0,0,0.00%,0,0,0,0,15,15,15,15,100.00%,15,0,2204,2204,2174,2130,98.00%,180,410,1066,1138,0
MI,11385,9327,8281,88.80%,5567,5380,395,43,1709,5447,5761,177,5567,4294,3947,91.90%,676,354,644,2241,3192,134,,5380,5380,4650,4108,88.30%,974,2980,2357,43,395,395,340,183,53.80%,91,226,169,0,43,43,43,43,100.00%,43,0,7872,7872,7782,6581,84.60%,1404,1313,3625,4247,0
MN,7126,6288,4819,76.60%,3680,3306,130,10,1565,4477,2608,41,3680,2995,2280,76.10%,183,455,666,2056,1602,22,,3306,3306,3153,2409,76.40%,876,2351,936,19,130,130,130,130,100.00%,23,70,60,0,10,10,10,0,0.00%,10,0,10135,10135,10084,7660,76.00%,3335,1743,5067,5049,19
MO,7761,5886,4128,70.10%,4026,3611,70,54,1347,3734,3849,178,4026,2570,1705,66.30%,209,432,649,1774,2135,117,,3611,3611,3192,2317,72.60%,678,1908,1648,55,70,70,70,70,100.00%,20,52,12,6,54,54,54,36,66.70%,54,0,5239,5239,5222,4590,87.90%,707,1103,2732,2502,5
MS,1823,1427,1037,72.70%,878,881,64,0,229,900,740,183,878,530,443,83.60%,50,36,123,467,348,63,,881,881,833,530,63.60%,96,406,355,120,64,64,64,64,100.00%,10,27,37,0,0,0,0,0,0.00%,0,0,511,511,511,486,95.10%,65,28,112,399,0
MT,1493,1216,479,39.40%,777,675,41,0,290,799,690,4,777,598,143,23.90%,30,117,116,374,399,4,,675,675,577,295,51.10%,163,397,278,0,41,41,41,41,100.00%,11,28,13,0,0,0,0,0,0.00%,0,0,624,624,624,209,33.50%,84,102,294,330,0
NC,10834,9449,7458,78.90%,5964,4148,722,0,1580,4644,6133,57,5964,4796,3968,82.70%,647,223,650,2054,3859,51,,4148,4148,3931,2793,71.10%,689,2007,2135,6,722,722,722,697,96.50%,241,583,139,0,0,0,0,0,0.00%,0,0,5368,5368,5361,4169,77.80%,1554,894,2483,2885,0
ND,729,566,511,90.30%,575,154,0,0,95,294,435,0,575,475,420,88.40%,0,44,72,202,373,0,,154,154,91,91,100.00%,23,92,62,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,570,570,570,497,87.20%,100,70,185,385,0
NE,3728,3189,2795,87.60%,1705,1826,197,0,544,1853,1793,82,1705,1386,1221,88.10%,0,208,167,711,946,48,,1826,1826,1606,1377,85.70%,328,983,809,34,197,197,197,197,100.00%,49,159,38,0,0,0,0,0,0.00%,0,0,1044,1044,1044,626,60.00%,261,146,431,613,0
NH,1410,1247,1141,91.50%,681,643,77,9,278,775,632,3,681,548,515,94.00%,118,19,101,297,381,3,,643,643,613,540,88.10%,166,453,190,0,77,77,77,77,100.00%,11,25,52,0,9,9,9,9,100.00%,9,0,993,993,993,708,71.30%,207,181,509,484,0
NJ,8285,7355,6927,94.20%,4940,2942,383,20,1447,4261,3935,89,4940,4430,4106,92.70%,110,4377,746,2253,2655,32,,2942,2942,2522,2418,95.90%,633,1806,1079,57,383,383,383,383,100.00%,68,202,181,0,20,20,20,20,100.00%,20,0,4880,4880,4837,3758,77.70%,1277,560,1463,3417,0
NM,2592,1826,942,51.60%,1397,1016,179,0,390,1491,1049,52,1397,904,245,27.10%,510,116,112,667,678,52,,1016,1016,743,546,73.50%,225,678,338,0,179,179,179,151,84.40%,53,146,33,0,0,0,0,0,0.00%,0,0,1536,1536,1536,918,59.80%,504,279,639,897,0
NV,3929,3617,3184,88.00%,2427,1477,0,25,401,1038,2819,72,2427,2178,1957,89.90%,347,291,206,654,1749,24,,1477,1477,1414,1202,85.00%,195,384,1045,48,0,0,0,0,0.00%,0,0,0,0,25,25,25,25,100.00%,25,0,2598,2598,2598,1423,54.80%,826,277,731,1867,0
NY,75992,71036,63145,88.90%,63065,12517,230,180,14575,48810,26970,212,63065,59962,53194,88.70%,323,2172,12630,42856,20070,139,,12517,12517,10673,9568,89.60%,1899,5812,6635,70,230,230,230,212,92.20%,46,142,85,3,180,180,171,171,100.00%,180,0,32282,32282,31834,20803,65.30%,10050,3636,10234,22048,0
OH,13301,11956,10481,87.70%,6271,4999,1933,98,2211,6642,6551,108,6271,5330,4310,80.90%,625,535,785,2422,3751,98,,4999,4999,4637,4182,90.20%,902,2623,2366,10,1933,1933,1891,1891,100.00%,524,1597,336,0,98,98,98,98,100.00%,98,0,12863,12863,12863,11264,87.60%,3171,1822,4889,7974,0
OK,4211,3451,2430,70.40%,3003,1109,49,50,532,1671,2348,192,3003,2382,1636,68.70%,24,195,319,1032,1805,166,,1109,1109,978,703,71.90%,202,609,477,23,49,49,41,41,100.00%,11,30,16,3,50,50,50,50,100.00%,50,0,1112,1112,1073,715,66.60%,332,108,292,820,0
OR,7922,7030,4526,64.40%,3156,4208,543,15,1379,4033,3759,130,3156,2733,1034,37.80%,284,456,398,1194,1875,87,,4208,4208,3933,3131,79.60%,813,2413,1752,43,543,543,349,346,99.10%,168,426,117,0,15,15,15,15,100.00%,15,0,5747,5747,5682,3869,68.10%,1567,639,1944,3800,3
PA,16370,14507,12396,85.40%,7793,7565,758,254,2954,9142,7160,68,7793,6674,5389,80.70%,921,261,1077,3570,4164,59,,7565,7565,6821,6040,88.60%,1671,4929,2627,9,758,758,758,758,100.00%,206,643,115,0,254,254,254,209,82.30%,254,0,12304,12304,12228,10268,84.00%,2594,2083,6330,5974,0
PR,2003,1590,1511,95.00%,481,1396,39,87,138,588,1415,0,481,353,353,100.00%,0,0,16,113,368,0,,1396,1396,1114,1071,96.10%,114,449,947,0,39,39,36,0,0.00%,8,26,13,0,87,87,87,87,100.00%,87,0,1740,1740,1686,1632,96.80%,532,210,597,1143,0
RI,1181,1076,1012,94.10%,699,465,0,17,215,571,610,0,699,625,585,93.60%,47,67,109,273,426,0,,465,465,434,410,94.50%,106,298,167,0,0,0,0,0,0.00%,0,0,0,0,17,17,17,17,100.00%,17,0,1615,1615,1611,1417,88.00%,324,284,746,869,0
SC,4149,3691,3105,84.10%,1717,2155,265,12,489,1756,2386,7,1717,1323,1146,86.60%,375,161,116,649,1068,0,,2155,2155,2119,1730,81.60%,309,928,1220,7,265,265,237,217,91.60%,64,179,86,0,12,12,12,12,100.00%,12,0,1958,1958,1857,1507,81.20%,257,328,849,1109,0
SD,1588,1146,433,37.80%,980,608,0,0,256,763,727,98,980,538,204,37.90%,70,85,205,596,346,38,,608,608,608,229,37.70%,51,167,381,60,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,614,614,614,434,70.70%,139,71,247,367,0
TN,6979,6236,3556,57.00%,3340,3596,19,24,846,2402,4535,42,3340,2793,1397,50.00%,559,259,385,1105,2198,37,,3596,3596,3400,2120,62.40%,459,1291,2300,5,19,19,19,15,78.90%,2,6,13,0,24,24,24,24,100.00%,24,0,4358,4358,4197,2894,69.00%,1330,863,1981,2373,4
TX,22582,18024,11412,63.30%,13088,9011,325,158,3183,10558,11780,244,13088,10189,5546,54.40%,133,890,1388,4941,7947,200,,9011,9011,7432,5568,74.90%,1731,5409,3558,44,325,325,245,148,60.40%,64,208,117,0,158,158,158,150,94.90%,158,0,11392,11392,11047,7304,66.10%,3412,2106,5637,5755,0
UT,3188,2449,2249,91.80%,1602,1189,348,49,538,1664,1489,35,1602,1214,1115,91.80%,709,34,177,553,1016,33,,1189,1189,838,737,87.90%,250,763,424,2,348,348,348,348,100.00%,111,348,0,0,49,49,49,49,100.00%,49,0,2035,2035,2007,1867,93.00%,802,261,879,1156,0
VA,7935,6637,5321,80.20%,3972,2855,1040,68,1457,4942,2966,27,3972,3083,2191,71.10%,1235,437,585,2063,1882,27,,2855,2855,2563,2279,88.90%,590,2007,848,0,1040,1040,923,783,84.80%,282,872,168,0,68,68,68,68,100.00%,68,0,3272,3272,3272,2256,68.90%,886,373,1138,2134,0
VI,151,105,92,87.60%,91,60,0,0,30,61,90,0,91,65,65,100.00%,0,0,10,41,50,0,,60,60,40,27,67.50%,20,20,40,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,59,59,59,59,100.00%,12,10,30,29,0
VT,1414,1264,231,18.30%,1067,341,0,6,316,858,548,8,1067,970,100,10.30%,49,0,254,702,365,0,,341,341,288,125,43.40%,62,156,177,8,0,0,0,0,0.00%,0,0,0,0,6,6,6,6,100.00%,6,0,549,549,549,324,59.00%,455,40,116,433,0
WA,18551,16823,14109,83.90%,6554,8107,3835,55,4078,11588,6830,133,6554,5644,4047,71.70%,957,381,840,2922,3536,96,,8107,8107,7334,6250,85.20%,1952,6017,2053,37,3835,3835,3790,3757,99.10%,1286,2649,1186,0,55,55,55,55,100.00%,55,0,9046,9046,9046,6685,73.90%,3038,778,2183,6863,0
WI,6701,5347,4763,89.10%,3375,3042,220,64,1292,3964,2697,40,3375,2515,2182,86.80%,338,333,560,1778,1565,32,,3042,3042,2548,2305,90.50%,673,2038,996,8,220,220,220,212,96.40%,59,148,72,0,64,64,64,64,100.00%,64,0,2784,2784,2775,2398,86.40%,295,268,893,1891,0
WV,1980,1674,1090,65.10%,1278,672,17,13,256,816,1159,5,1278,1086,676,62.20%,48,160,148,457,821,0,,672,672,558,388,69.50%,107,356,311,5,17,17,17,13,76.50%,1,3,14,0,13,13,13,13,100.00%,13,0,1206,1206,1206,806,66.80%,275,148,391,815,0
WY,905,688,483,70.20%,596,309,0,0,151,398,507,0,596,408,247,60.50%,0,16,69,229,367,0,,309,309,280,236,84.30%,82,169,140,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,198,198,198,20,10.10%,6,24,75,77,46
Total,446078,392069,316554,,238708,185332,19847,2191,74148,235653,206413,4012,238708,203944,161331,,20822,27233,35065,118107,117885,2716,,185332,185332,166772,135111,,33171,101843,82205,1284,19847,19847,19171,18053,,5912,15703,4132,12,2191,2191,2182,2059,,2191,0,284298,284298,281614,204518,,81666,39030,108065,176128,105
