,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK-500,1007,933,827,82.13%,553,454,0,109,344,655,8,553,501,431,77.94%,179,2,41,147,398,8,454,432,396,87.22%,68,197,257,0,0,0,0,.,0,0,0,0,55,41,41,74.55%,17,48,7,0,55,41,41,74.55%,17,48,7,0,0,0,0,.,0,0,0,0,434,434,289,66.59%,40,84,350,0,97,97,97,100.00%,0,0,97,0
AK-501,819,535,422,51.53%,542,277,0,76,289,511,19,542,308,270,49.82%,24,15,46,183,340,19,277,227,152,54.87%,30,106,171,0,0,0,0,.,0,0,0,0,17,17,17,100.00%,3,9,8,0,17,17,17,100.00%,3,9,8,0,0,0,0,.,0,0,0,0,219,201,96,43.84%,21,25,194,0,33,33,33,1,8,28,5,0
AL-500,1113,1029,885,79.51%,493,586,34,124,380,715,18,493,433,404,81.95%,0,35,38,100,375,18,586,562,447,76.28%,86,280,306,0,34,34,34,100.00%,0,0,34,0,374,374,369,98.66%,34,111,263,0,374,374,369,98.66%,34,111,263,0,0,0,0,.,0,0,0,0,1492,1492,900,60.32%,300,772,720,0,93,93,93,100.00%,4,12,81,0
AL-501,476,391,355,74.58%,354,122,0,73,180,296,0,354,302,268,75.71%,0,43,48,118,236,0,122,89,87,71.31%,25,62,60,0,0,0,0,.,0,0,0,0,467,467,173,37.04%,96,335,132,0,467,467,173,37.04%,96,335,132,0,0,0,0,.,0,0,0,0,504,504,459,91.07%,84,306,198,0,0,0,0,.,0,0,0,0
AL-502,237,157,0,0.00%,41,196,0,38,141,96,0,41,41,0,0.00%,76,0,4,19,22,0,196,116,0,0.00%,34,122,74,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,36,36,6,16.67%,0,0,36,0,20,20,0,0,0,0,20,0
AL-503,466,411,151,32.40%,432,34,0,46,149,309,8,432,382,129,29.86%,0,2,35,129,295,8,34,29,22,64.71%,11,20,14,0,0,0,0,.,0,0,0,0,39,39,39,100.00%,4,10,29,0,39,39,39,100.00%,4,10,29,0,0,0,0,.,0,0,0,0,278,278,128,46.04%,15,50,228,0,0,0,0,.,0,0,0,0
AL-504,422,358,343,81.28%,258,164,0,52,138,284,0,258,248,233,90.31%,0,0,25,57,201,0,164,110,110,67.07%,27,81,83,0,0,0,0,.,0,0,0,0,47,47,47,100.00%,9,35,12,0,47,47,47,100.00%,9,35,12,0,0,0,0,.,0,0,0,0,514,514,249,48.44%,54,173,341,0,0,0,0,.,0,0,0,0
AL-505,178,145,132,74.16%,112,66,0,14,58,104,16,112,89,88,78.57%,0,6,11,43,68,1,66,56,44,66.67%,3,15,36,15,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AL-506,98,50,18,18.37%,16,82,0,15,54,44,0,16,0,0,0.00%,0,0,5,6,10,0,82,50,18,21.95%,10,48,34,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,290,290,290,100.00%,0,0,290,0,0,0,0,.,0,0,0,0
AL-507,499,411,47,9.42%,206,293,0,40,118,371,10,206,118,4,1.94%,0,7,33,92,109,5,293,293,43,14.68%,7,26,262,5,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,280,280,142,50.71%,19,38,241,1,0,0,0,.,0,0,0,0
AR-500,707,566,380,53.75%,439,268,0,59,205,502,0,439,338,186,42.37%,0,120,31,133,306,0,268,228,194,72.39%,28,72,196,0,0,0,0,.,0,0,0,0,107,107,107,100.00%,6,21,86,0,107,107,107,100.00%,6,21,86,0,0,0,0,.,0,0,0,0,930,930,547,58.82%,112,311,619,0,36,30,30,83.33%,3,11,25,0
AR-501,463,388,222,47.95%,243,220,0,38,177,248,38,243,168,132,54.32%,74,0,16,76,167,0,220,220,90,40.91%,22,101,81,38,0,0,0,.,0,0,0,0,64,64,64,100.00%,24,40,24,0,39,39,39,100.00%,15,15,24,0,25,25,25,1,9,25,0,0,164,164,8,4.88%,33,58,106,0,0,0,0,.,0,0,0,0
AR-503,600,450,295,49.17%,509,91,0,44,234,366,0,509,359,247,48.53%,0,31,35,209,300,0,91,91,48,52.75%,9,25,66,0,0,0,0,.,0,0,0,0,108,108,108,1,21,72,36,0,108,108,108,1,21,72,36,0,0,0,0,.,0,0,0,0,39,39,39,100.00%,5,18,21,0,0,0,0,.,0,0,0,0
AR-504,178,89,10,5.62%,154,24,0,88,168,0,10,154,65,10,6.49%,0,8,75,144,0,10,24,24,0,0.00%,13,24,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-505,223,115,0,0.00%,199,24,0,35,92,107,24,199,103,0,0.00%,0,0,25,80,95,24,24,12,0,0.00%,10,12,12,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,0,0.00%,4,4,12,0,0,0,0,.,0,0,0,0
AR-508,178,138,0,0.00%,154,24,0,22,59,119,0,154,114,0,0.00%,0,0,21,50,104,0,24,24,0,0.00%,1,9,15,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AR-512,45,12,0,0.00%,33,12,0,12,40,5,0,33,0,0,0.00%,0,1,9,28,5,0,12,12,0,0.00%,3,12,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AZ-500,1058,735,563,53.21%,780,278,0,133,485,545,28,780,483,367,47.05%,0,130,85,307,450,23,278,252,196,70.50%,48,178,95,5,0,0,0,.,0,0,0,0,486,486,486,100.00%,67,204,282,0,486,486,486,100.00%,67,204,282,0,0,0,0,.,0,0,0,0,1106,1106,527,47.65%,184,547,559,0,114,114,114,100.00%,5,11,103,0
AZ-501,1829,1755,1717,93.88%,782,1032,15,239,779,1024,26,782,729,691,88.36%,130,69,77,252,520,10,1032,1011,1011,97.97%,162,527,489,16,15,15,15,100.00%,0,0,15,0,525,490,490,93.33%,131,435,90,0,525,490,490,93.33%,131,435,90,0,0,0,0,.,0,0,0,0,1798,1798,1058,58.84%,194,616,1182,0,0,0,0,.,0,0,0,0
