,"Total Beds (ES, TH, SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,,,Total Rapid Re-Housing (Including Demonstration Programs),,,,,,,,Rapid Re-Housing (Excluding Demonstration Programs),,,,,,,,Rapid Re-Housing Demonstration Projects (DEM),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,Other Permanent Housing (OPH),,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Total Year-Round Beds (RRH & DEM),Total Non-DV Year-Round Beds (RRH & DEM),Total HMIS Year-Round Beds (RRH & DEM),HMIS Participation Rate for Year-Round Beds (RRH & DEM),Total Units for Households with Children (RRH & DEM),Total Beds for Households with Children (RRH & DEM),Total Beds for Households without Children (RRH & DEM),Total Beds for Households with only Children (RRH & DEM),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Total Year-Round Beds (DEM),Total Non-DV Year-Round Beds (DEM),Total HMIS Year-Round Beds (DEM),HMIS Participation Rate for Year-Round Beds (DEM),Total Units for Households with Children (DEM),Total Beds for Households with Children (DEM),Total Beds for Households without Children (DEM),Total Beds for Households with only Children (DEM),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH)
AK,1826,1468,1249,68.40%,1095,731,0,185,633,1166,27,1095,809,701,64.02%,203,17,87,330,738,27,731,659,548,74.97%,98,303,428,0,0,0,0,.,0,0,0,0,72,58,58,80.56%,20,57,15,0,72,58,58,80.56%,20,57,15,0,0,0,0,.,0,0,0,0,653,635,385,58.96%,61,109,544,0,130,130,130,100.00%,8,28,102,0
AL,3489,2952,1931,55.35%,1912,1543,34,402,1218,2219,52,1912,1613,1126,58.89%,76,93,199,564,1316,32,1543,1305,771,49.97%,203,654,869,20,34,34,34,100.00%,0,0,34,0,927,927,628,67.75%,143,491,436,0,927,927,628,67.75%,143,491,436,0,0,0,0,.,0,0,0,0,3394,3394,2174,64.05%,472,1339,2054,1,113,113,93,82.30%,4,12,101,0
AR,2394,1758,907,37.89%,1731,663,0,298,975,1347,72,1731,1147,575,33.22%,74,160,212,720,977,34,663,611,332,50.08%,86,255,370,38,0,0,0,.,0,0,0,0,279,279,279,100.00%,51,133,146,0,254,254,254,100.00%,42,108,146,0,25,25,25,1,9,25,0,0,1149,1149,594,51.70%,154,391,758,0,36,30,30,83.33%,3,11,25,0
AZ,6942,5913,5403,77.83%,3922,2980,40,997,3343,3484,115,3922,3132,2783,70.96%,130,201,445,1492,2353,77,2980,2741,2580,86.58%,552,1851,1091,38,40,40,40,100.00%,0,0,40,0,1902,1867,1867,98.16%,399,1276,626,0,1902,1867,1867,98.16%,399,1276,626,0,0,0,0,.,0,0,0,0,7504,7504,5106,68.04%,796,2525,4979,0,1320,1320,1320,100.00%,230,1001,319,0
CA,42351,37419,28631,67.60%,20240,21966,145,5789,19438,22475,438,20240,17794,12822,63.35%,5393,766,2475,8863,11033,344,21966,19480,15683,71.40%,3314,10575,11297,94,145,145,126,86.90%,0,0,145,0,8807,8625,7432,84.39%,2486,7074,1733,0,8775,8625,7432,84.70%,2474,7042,1733,0,32,0,0,0.00%,12,32,0,0,56416,55872,36306,64.35%,5980,18369,38042,5,2841,2800,2460,86.59%,416,1553,1288,0
CO,7656,6834,4310,56.30%,3541,4048,67,1068,3994,3467,195,3541,2943,1666,47.05%,1139,681,302,1451,2044,46,4048,3849,2602,64.28%,766,2543,1356,149,67,42,42,62.69%,0,0,67,0,1124,1124,1124,100.00%,347,878,246,0,1124,1124,1124,100.00%,347,878,246,0,0,0,0,.,0,0,0,0,3975,3909,3384,85.13%,485,1089,2886,0,54,54,54,100.00%,0,0,54,0
CT,3236,2902,2705,83.59%,2276,960,0,473,1495,1731,10,2276,2030,1945,85.46%,306,186,303,1028,1238,10,960,872,760,79.17%,170,467,493,0,0,0,0,.,0,0,0,0,639,639,620,97.03%,137,419,220,0,639,639,620,97.03%,137,419,220,0,0,0,0,.,0,0,0,0,6627,6555,5093,76.85%,786,2159,4468,0,0,0,0,.,0,0,0,0
DC,8314,7949,7692,92.52%,6077,2237,0,1619,5049,3255,10,6077,6001,5863,96.48%,708,125,1183,3805,2262,10,2237,1948,1829,81.76%,436,1244,993,0,0,0,0,.,0,0,0,0,3824,3824,3824,100.00%,1118,3502,322,0,3761,3761,3761,100.00%,1097,3439,322,0,63,63,63,100.00%,21,63,0,0,6567,6524,6043,92.02%,957,3307,3260,0,2296,2296,72,0.0314,296,778,1518,0
DE,1170,1057,701,59.91%,590,580,0,169,450,700,20,590,477,345,58.47%,31,129,62,210,371,9,580,580,356,61.38%,107,240,329,11,0,0,0,.,0,0,0,0,144,144,144,100.00%,39,116,28,0,144,144,144,100.00%,39,116,28,0,0,0,0,.,0,0,0,0,601,601,455,75.71%,22,59,542,0,65,65,65,1,0,0,65,0
