,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
AK,1828,1484,1307,71.50%,1130,698,0,177,622,1171,35,12,167,1130,869,749,66.28%,117,29,78,310,791,29,0,85,698,615,558,79.94%,99,312,380,6,12,82,0,0,0,.,0,0,0,0,0,0,66,66,66,100.00%,12,49,17,0,24,3,939,939,601,64.00%,85,267,672,0,338,0,388,101,101,101,100.00%,0,0,101,0,0,0
AL,3444,2915,1601,46.49%,2073,1334,37,380,1216,2176,52,362,196,2073,1769,1079,52.05%,106,50,187,649,1378,46,179,101,1334,1109,488,36.58%,193,567,761,6,183,95,37,37,34,91.89%,0,0,37,0,0,0,637,637,633,99.37%,110,348,289,0,376,146,3156,3156,1981,62.77%,416,1062,2094,0,1392,287,1480,113,113,93,82.30%,4,12,101,0,0,0
AR,2062,1516,743,36.03%,1513,549,0,232,837,1169,56,121,195,1513,1019,502,33.18%,25,121,156,635,854,24,64,94,549,497,241,43.90%,76,202,315,32,57,101,0,0,0,.,0,0,0,0,0,0,343,343,343,100.00%,45,238,105,0,192,0,1123,1123,594,52.89%,134,372,751,0,513,0,168,38,38,23,60.53%,6,19,19,0,0,0
AZ,5880,4896,4590,78.06%,3866,1978,36,721,2600,3219,61,467,175,3866,3006,2845,73.59%,97,271,399,1499,2306,61,81,94,1978,1854,1709,86.40%,322,1101,877,0,386,81,36,36,36,100.00%,0,0,36,0,0,0,1536,1491,1483,96.55%,290,1004,532,0,248,46,8625,8625,6125,71.01%,852,3005,5620,0,2522,50,2258,1076,1076,1076,100.00%,198,873,203,0,25,32
CA,44473,39588,25743,57.88%,24799,19537,137,6455,20645,23471,357,3815,2813,24799,22351,13693,55.22%,5119,1130,3487,11699,12790,310,927,717,19537,17100,11932,61.07%,2968,8946,10544,47,2851,2096,137,137,118,86.13%,0,0,137,0,37,0,11817,11482,10952,92.68%,2606,8734,3071,12,2407,161,59836,59444,42593,71.18%,6400,19878,39946,12,20183,730,27571,4645,4548,2734,58.86%,662,2119,2526,0,995,147
CO,7071,6260,3215,45.47%,3761,3285,25,1669,3284,3606,181,409,326,3761,3198,1475,39.22%,991,637,783,1253,2488,20,49,102,3285,3062,1740,52.97%,886,2031,1093,161,360,224,25,0,0,0.00%,0,0,25,0,0,0,1625,1555,1505,92.62%,431,831,794,0,224,98,6027,6027,3311,54.94%,678,1541,4448,38,2264,215,2175,267,211,144,53.93%,35,123,144,0,28,0
CT,3094,2773,2666,86.17%,2248,846,0,459,1463,1609,22,190,120,2248,1996,1946,86.57%,326,166,304,1036,1190,22,22,32,846,777,720,85.11%,155,427,419,0,168,88,0,0,0,.,0,0,0,0,0,0,820,820,776,94.63%,179,540,280,0,154,8,6982,6905,5529,79.19%,769,2267,4715,0,1104,64,4001,0,0,0,.,0,0,0,0,0,0
DC,7402,7064,6727,90.88%,5888,1514,0,1265,4171,3221,10,209,526,5888,5728,5578,94.74%,424,0,1035,3545,2333,10,0,78,1514,1336,1149,75.89%,230,626,888,0,209,448,0,0,0,.,0,0,0,0,0,0,4480,4480,4478,99.96%,1398,4208,272,0,212,67,6336,6300,5103,80.54%,1043,3117,3219,0,1251,130,6236,1751,1751,0,0.00%,472,1561,190,0,0,0
DE,1143,1067,649,56.78%,575,568,0,177,468,671,4,80,12,575,499,374,65.04%,31,77,61,192,379,4,17,4,568,568,275,48.42%,116,276,292,0,63,8,0,0,0,.,0,0,0,0,0,0,216,216,216,100.00%,64,211,5,0,20,0,671,671,504,75.11%,40,97,574,0,167,0,471,101,101,89,88.12%,3,9,92,0,24,0
