CoC Number,CoC Name,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
AK-500,Anchorage CoC,"1,023",921,102,695,596,99,328,325,3,300,239,61
AK-501,Alaska Balance of State CoC,623,531,92,372,316,56,251,215,36,139,116,23
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2,104","1,240",864,"1,529",833,696,575,407,168,516,269,247
AL-501,Mobile City & County/Baldwin County CoC,524,341,183,350,180,170,174,161,13,73,34,39
AL-502,Florence/Northwest Alabama CoC,249,178,71,173,128,45,76,50,26,5,2,3
AL-503,Huntsville/North Alabama CoC,714,637,77,596,519,77,118,118,0,279,202,77
AL-504,Montgomery City & County CoC,444,327,117,370,262,108,74,65,9,103,38,65
AL-505,Gadsden/Northeast Alabama CoC,298,262,36,206,181,25,92,81,11,8,7,1
AL-506,Tuscaloosa City & County CoC,196,192,4,170,166,4,26,26,0,25,21,4
AL-507,Alabama Balance of State CoC,858,666,192,692,534,158,166,132,34,43,6,37
AR-500,Little Rock/Central Arkansas CoC,"1,811","1,176",635,"1,621",998,623,190,178,12,491,300,191
AR-501,Fayetteville/Northwest Arkansas CoC,313,273,40,235,203,32,78,70,8,34,25,9
AR-502,Conway/Arkansas River Valley,163,59,104,87,19,68,76,40,36,15,0,15
AR-504,Delta Hills CoC,817,374,443,626,347,279,191,27,164,327,142,185
AR-505,Southeast Arkansas,130,120,10,35,32,3,95,88,7,25,25,0
AR-506,"Johnson, Pope, Yell Counties",21,18,3,21,18,3,0,0,0,1,0,1
AZ-500,Arizona Balance of State CoC,"2,940",956,"1,984","2,162",459,"1,703",778,497,281,408,76,332
AZ-501,Tucson/Pima County CoC,"2,359","1,251","1,108","1,580",608,972,779,643,136,"1,502",784,718
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"7,189","4,763","2,426","4,686","2,309","2,377","2,503","2,454",49,"1,187",363,824
CA-500,San Jose/Santa Clara City & County CoC,"7,202","2,101","5,101","5,945","1,105","4,840","1,257",996,261,"1,757",223,"1,534"
CA-501,San Francisco CoC,"5,171","2,400","2,771","4,639","1,888","2,751",532,512,20,"1,735",738,997
CA-502,Oakland/Alameda County CoC,"4,838","2,342","2,496","3,026","1,257","1,769","1,812","1,085",727,"1,257",318,939
CA-503,Sacramento City & County CoC,"2,615","1,349","1,266","2,173",940,"1,233",442,409,33,680,238,442
