State,Number of CoCs,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Homeless Veterans, 2010","Sheltered Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
AK,2,"1,863","1,671",192,"1,118",953,165,745,718,27,164,119,45,300,270,30
AL,8,"6,046","3,891","2,155","4,553","2,857","1,696","1,493","1,034",459,"1,043",502,541,"1,089",911,178
AR,5,"2,762","1,728","1,034","2,120","1,312",808,642,416,226,395,145,250,362,247,115
AZ,3,"13,711","7,214","6,497","9,226","3,366","5,860","4,485","3,848",637,"1,935",544,"1,391","2,230","1,052","1,178"
CA,43,"123,480","50,899","72,581","96,940","32,302","64,638","26,540","18,597","7,943","31,235","6,964","24,271","17,604","6,600","11,004"
CO,3,"15,482","9,031","6,451","7,574","4,576","2,998","7,908","4,455","3,453","1,432",510,922,"1,316",853,463
CT,10,"4,316","3,817",499,"2,993","2,511",482,"1,323","1,306",17,777,595,182,483,423,60
DC,1,"6,539","6,109",430,"4,016","3,586",430,"2,523","2,523",0,"2,110","1,723",387,579,563,16
DE,1,982,930,52,681,629,52,301,301,0,97,71,26,74,69,5
FL,28,"57,551","21,817","35,734","35,738","13,231","22,507","21,813","8,586","13,227","9,232","3,700","5,532","7,794","2,818","4,976"
GA,7,"19,836","8,746","11,090","14,377","5,612","8,765","5,459","3,134","2,325","3,635","1,495","2,140","2,766","1,372","1,394"
GU,1,"1,635",182,"1,453",534,37,497,"1,101",145,956,28,1,27,27,5,22
HI,2,"5,834","3,535","2,299","2,889",944,"1,945","2,945","2,591",354,801,96,705,419,176,243
IA,3,"3,014","2,903",111,"1,528","1,426",102,"1,486","1,477",9,249,182,67,221,207,14
ID,2,"2,346","1,564",782,"1,445",831,614,901,733,168,111,37,74,239,128,111
IL,21,"14,395","12,208","2,187","7,568","5,767","1,801","6,827","6,441",386,"2,130","1,435",695,"1,133",886,247
IN,3,"6,452","5,233","1,219","3,588","2,736",852,"2,864","2,497",367,775,478,297,767,633,134
KS,5,"2,024","1,828",196,"1,318","1,166",152,706,662,44,191,149,42,711,660,51
KY,3,"6,623","5,599","1,024","4,125","3,261",864,"2,498","2,338",160,695,404,291,619,534,85
LA,9,"12,482","4,096","8,386","10,101","2,390","7,711","2,381","1,706",675,"4,815",226,"4,589","2,015",502,"1,513"
MA,20,"16,646","15,595","1,051","6,403","5,483",920,"10,243","10,112",131,"2,007","1,502",505,"1,597","1,449",148
MD,16,"10,845","6,515","4,330","5,999","3,902","2,097","4,846","2,613","2,233","2,179","1,231",948,910,646,264
ME,3,"2,379","2,351",28,"1,061","1,033",28,"1,318","1,318",0,226,221,5,108,105,3
MI,21,"13,058","10,219","2,839","7,365","5,371","1,994","5,693","4,848",845,"1,824","1,309",515,964,785,179
MN,11,"7,869","6,730","1,139","3,605","2,934",671,"4,264","3,796",468,"1,490","1,149",341,644,553,91
MO,8,"8,122","6,336","1,786","4,427","3,290","1,137","3,695","3,046",649,"1,287",977,310,759,629,130
MS,3,"2,743","1,181","1,562","1,924",661,"1,263",819,520,299,357,130,227,339,215,124
MT,1,"1,615","1,168",447,890,562,328,725,606,119,145,96,49,262,156,106
NC,12,"12,191","9,173","3,018","8,361","5,892","2,469","3,830","3,281",549,"1,479","1,077",402,"1,084",907,177
ND,1,799,768,31,539,513,26,260,255,5,64,61,3,119,114,5
NE,7,"3,877","3,355",522,"2,423","2,018",405,"1,454","1,337",117,535,416,119,305,243,62
NH,3,"1,574","1,337",237,943,740,203,631,597,34,326,280,46,173,143,30
NJ,20,"13,737","12,083","1,654","6,520","5,271","1,249","7,217","6,812",405,877,617,260,567,488,79
NM,2,"3,475","2,108","1,367","2,343","1,102","1,241","1,132","1,006",126,779,341,438,441,259,182
NV,3,"11,205","7,848","3,357","9,565","6,233","3,332","1,640","1,615",25,"1,415",253,"1,162","1,843","1,230",613
NY,32,"65,606","61,467","4,139","26,293","22,292","4,001","39,313","39,175",138,"4,259","1,905","2,354","5,857","5,046",811
OH,9,"12,569","10,729","1,840","7,719","6,295","1,424","4,850","4,434",416,"2,240","1,676",564,"1,527","1,293",234
OK,8,"5,229","3,315","1,914","3,317","2,239","1,078","1,912","1,076",836,620,395,225,474,350,124
OR,8,"19,492","7,231","12,261","10,731","3,654","7,077","8,761","3,577","5,184","2,601",683,"1,918","1,285",573,712
PA,17,"14,516","13,418","1,098","7,191","6,125","1,066","7,325","7,293",32,"1,524",868,656,"1,441","1,274",167
