CoC Number,CoC Name,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
AK-500,Anchorage CoC,"1,223","1,082",141,794,677,117,429,405,24,129,109,20,112,94,18,17,15,2,199,168,31
AK-501,Alaska Balance of State CoC,905,678,227,492,365,127,413,313,100,124,85,39,114,75,39,10,10,0,89,68,21
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,950","1,024",926,"1,445",695,750,505,329,176,564,149,415,536,138,398,28,11,17,281,110,171
AL-501,Mobile City & County/Baldwin County CoC,718,407,311,542,231,311,176,176,0,65,7,58,65,7,58,0,0,0,60,19,41
AL-502,Florence/Northwest Alabama CoC,244,234,10,219,209,10,25,25,0,6,0,6,3,0,3,3,0,3,5,1,4
AL-503,Huntsville/North Alabama CoC,656,481,175,489,351,138,167,130,37,244,164,80,238,158,80,6,6,0,69,59,10
AL-504,Montgomery City & County CoC,433,287,146,333,198,135,100,89,11,84,12,72,82,12,70,2,0,2,59,34,25
AL-505,Gadsden/Northeast Alabama CoC,495,353,142,414,310,104,81,43,38,73,32,41,44,27,17,29,5,24,15,7,8
AL-506,Tuscaloosa City & County CoC,265,236,29,257,228,29,8,8,0,37,33,4,37,33,4,0,0,0,107,107,0
AL-507,Alabama Balance of State CoC,797,727,70,626,560,66,171,167,4,41,21,20,41,21,20,0,0,0,63,50,13
AR-500,Little Rock/Central Arkansas CoC,"1,276",789,487,"1,094",607,487,182,182,0,202,155,47,202,155,47,0,0,0,303,193,110
AR-501,Fayetteville/Northwest Arkansas CoC,238,199,39,128,97,31,110,102,8,102,66,36,51,33,18,51,33,18,39,33,6
AR-503,Arkansas  Balance of State  CoC,943,605,338,754,499,255,189,106,83,207,76,131,156,51,105,51,25,26,59,38,21
AR-504,Delta Hills CoC,790,72,718,441,49,392,349,23,326,86,25,61,86,25,61,0,0,0,4,0,4
AR-505,Southeast Arkansas,94,94,0,55,55,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-507,Eastern Arkansas CoC,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",83,43,40,33,13,20,50,30,20,10,6,4,5,3,2,5,3,2,6,4,2
AZ-500,Arizona Balance of State CoC,"2,047","1,318",729,"1,027",731,296,"1,020",587,433,466,199,267,386,165,221,80,34,46,320,207,113
AZ-501,Tucson/Pima County CoC,"2,626","1,902",724,"1,783","1,101",682,843,801,42,725,526,199,461,270,191,264,256,8,454,304,150
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"5,831","4,082","1,749","3,593","1,852","1,741","2,238","2,230",8,"1,092",303,789,"1,092",303,789,0,0,0,754,507,247
CA-500,San Jose/Santa Clara City & County CoC,"7,067","1,898","5,169","6,450","1,337","5,113",617,561,56,"2,555",225,"2,330","2,520",225,"2,295",35,0,35,667,152,515
CA-501,San Francisco CoC,"5,669","2,298","3,371","5,034","1,758","3,276",635,540,95,"1,738",628,"1,110","1,738",628,"1,110",0,0,0,919,489,430
