State,Number of CoCs,"Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK,2,"1,913","1,716",197,"1,298","1,157",141,615,559,56,279,263,16,273,257,16,6,6,0,256,227,29
AL,8,"5,209","3,664","1,545","3,825","2,573","1,252","1,384","1,091",293,969,353,616,910,331,579,59,22,37,526,377,149
AR,6,"4,214","1,602","2,612","3,428","1,191","2,237",786,411,375,437,171,266,361,142,219,76,29,47,362,205,157
AZ,3,"11,302","8,215","3,087","6,310","3,786","2,524","4,992","4,429",563,"1,895",615,"1,280","1,605",389,"1,216",290,226,64,"1,478","1,007",471
CA,42,"120,098","45,890","74,208","94,888","26,494","68,394","25,210","19,396","5,814","33,356","5,458","27,898","30,189","4,912","25,277","3,167",546,"2,621","14,611","4,512","10,099"
CO,3,"16,768","7,260","9,508","5,101","2,847","2,254","11,667","4,413","7,254","1,943",784,"1,159","1,612",493,"1,119",331,291,40,"1,512",800,712
CT,7,"4,209","3,514",695,"2,906","2,252",654,"1,303","1,262",41,944,614,330,924,594,330,20,20,0,332,285,47
DC,1,"6,954","6,275",679,"3,767","3,088",679,"3,187","3,187",0,"2,315","1,773",542,"1,870","1,328",542,445,445,0,531,466,65
DE,1,"1,008",986,22,611,589,22,397,397,0,100,89,11,84,73,11,16,16,0,66,64,2
FL,28,"55,170","19,832","35,338","36,771","12,801","23,970","18,399","7,031","11,368","10,054","2,406","7,648","8,682","2,132","6,550","1,372",274,"1,098","5,331","2,201","3,130"
GA,7,"20,516","8,320","12,196","15,363","4,816","10,547","5,153","3,504","1,649","3,843","1,426","2,417","3,016","1,030","1,986",827,396,431,"2,297","1,094","1,203"
GU,1,"1,301",187,"1,114",255,65,190,"1,046",122,924,226,0,226,22,0,22,204,0,204,31,6,25
HI,2,"6,246","3,726","2,520","3,130","1,075","2,055","3,116","2,651",465,949,146,803,910,128,782,39,18,21,507,230,277
IA,3,"2,928","2,780",148,"1,446","1,302",144,"1,482","1,478",4,307,218,89,270,181,89,37,37,0,217,205,12
ID,2,"1,968","1,482",486,"1,175",787,388,793,695,98,252,111,141,200,90,110,52,21,31,260,184,76
IL,20,"14,144","11,149","2,995","8,269","5,808","2,461","5,875","5,341",534,"2,206","1,144","1,062","2,079","1,086",993,127,58,69,"1,147",813,334
IN,3,"6,259","5,370",889,"3,316","2,661",655,"2,943","2,709",234,545,369,176,461,285,176,84,84,0,687,547,140
KS,5,"2,684","2,350",334,"1,526","1,265",261,"1,158","1,085",73,371,275,96,307,218,89,64,57,7,373,329,44
KY,3,"5,230","4,319",911,"3,282","2,555",727,"1,948","1,764",184,629,423,206,497,347,150,132,76,56,440,369,71
LA,9,"7,772","3,807","3,965","6,322","2,438","3,884","1,450","1,369",81,"2,893",352,"2,541","2,743",280,"2,463",150,72,78,899,450,449
MA,19,"17,501","16,779",722,"6,289","5,577",712,"11,212","11,202",10,"2,055","1,723",332,"1,500","1,168",332,555,555,0,"1,181","1,126",55
MD,16,"9,454","5,942","3,512","5,727","3,445","2,282","3,727","2,497","1,230","1,407",559,848,"1,259",489,770,148,70,78,617,513,104
ME,2,"2,393","2,360",33,"1,287","1,254",33,"1,106","1,106",0,233,231,2,222,220,2,11,11,0,116,116,0
MI,21,"12,592","10,270","2,322","7,397","5,487","1,910","5,195","4,783",412,"1,370",843,527,"1,174",690,484,196,153,43,"1,017",835,182
MN,10,"7,744","6,754",990,"3,540","2,793",747,"4,204","3,961",243,"1,718","1,346",372,"1,004",700,304,714,646,68,309,243,66
MO,8,"10,237","7,893","2,344","4,855","3,531","1,324","5,382","4,362","1,020","1,632","1,028",604,906,609,297,726,419,307,899,714,185
MS,3,"2,413","1,042","1,371","1,794",626,"1,168",619,416,203,501,67,434,450,55,395,51,12,39,244,71,173
MT,1,"1,833","1,153",680,"1,166",653,513,667,500,167,388,213,175,304,161,143,84,52,32,323,147,176
NC,12,"13,524","8,809","4,715","8,480","5,461","3,019","5,044","3,348","1,696","1,621",702,919,"1,465",641,824,156,61,95,"1,413","1,091",322
ND,1,688,635,53,485,445,40,203,190,13,86,78,8,81,75,6,5,3,2,160,144,16
NE,3,"3,789","2,957",832,"2,215","1,861",354,"1,574","1,096",478,501,333,168,396,288,108,105,45,60,249,213,36
NH,3,"1,496","1,329",167,832,683,149,664,646,18,274,180,94,237,151,86,37,29,8,127,116,11
NJ,19,"13,025","11,429","1,596","6,603","5,387","1,216","6,422","6,042",380,"1,026",717,309,881,609,272,145,108,37,592,465,127
NM,2,"3,245","2,397",848,"2,136","1,471",665,"1,109",926,183,"1,072",613,459,973,566,407,99,47,52,345,202,143
NV,3,"8,497","3,970","4,527","7,493","2,999","4,494","1,004",971,33,"1,725",599,"1,126","1,603",480,"1,123",122,119,3,"1,229",691,538
NY,31,"69,566","65,482","4,084","30,133","26,097","4,036","39,433","39,385",48,"4,897","2,461","2,436","4,324","1,902","2,422",573,559,14,"4,961","4,370",591
OH,9,"13,977","12,246","1,731","7,855","6,432","1,423","6,122","5,814",308,"1,982","1,367",615,"1,788","1,196",592,194,171,23,"1,244","1,034",210
OK,8,"5,032","3,043","1,989","3,454","2,073","1,381","1,578",970,608,569,287,282,481,237,244,88,50,38,404,299,105
OR,7,"15,828","6,545","9,283","9,788","3,492","6,296","6,040","3,053","2,987","3,302",754,"2,548","2,782",654,"2,128",520,100,420,"1,356",558,798
PA,18,"14,736","13,660","1,076","7,295","6,316",979,"7,441","7,344",97,"2,106","1,121",985,"1,564",971,593,542,150,392,"1,456","1,321",135
PR,2,"3,212","1,346","1,866","2,494",944,"1,550",718,402,316,"3,251",251,"3,000","1,597",199,"1,398","1,654",52,"1,602",116,29,87
RI,1,"1,277","1,249",28,788,760,28,489,489,0,154,154,0,148,148,0,6,6,0,96,96,0
SC,4,"4,915","2,776","2,139","3,327","1,789","1,538","1,588",987,601,528,114,414,388,113,275,140,1,139,543,320,223
SD,1,859,795,64,512,465,47,347,330,17,138,125,13,113,100,13,25,25,0,124,114,10
TN,10,"9,426","5,778","3,648","6,905","4,167","2,738","2,521","1,611",910,"2,266","1,126","1,140","2,114","1,053","1,061",152,73,79,"1,285",973,312
